ERR466201_1	ERR466201.1
ERR466205_1	ERR466205.1
ERR466195_1	ERR466195.1
ERR466202_1	ERR466202.1
ERR466200_1	ERR466200.1
ERR466191_1	ERR466191.1
ERR466199_1	ERR466199.1
ERR466196_1	ERR466196.1
ERR466198_1	ERR466198.1
ERR466192_1	ERR466192.1
ERR466197_1	ERR466197.1
ERR466193_1	ERR466193.1
ERR466206_1	ERR466206.1
ERR466203_1	ERR466203.1
ERR466204_1	ERR466204.1
ERR466194_1	ERR466194.1
ERR466201_2	ERR466201.2
ERR466205_2	ERR466205.2
ERR466195_2	ERR466195.2
ERR466202_2	ERR466202.2
ERR466200_2	ERR466200.2
ERR466191_2	ERR466191.2
ERR466199_2	ERR466199.2
ERR466196_2	ERR466196.2
ERR466198_2	ERR466198.2
ERR466192_2	ERR466192.2
ERR466197_2	ERR466197.2
ERR466193_2	ERR466193.2
ERR466206_2	ERR466206.2
ERR466203_2	ERR466203.2
ERR466204_2	ERR466204.2
ERR466194_2	ERR466194.2
