14873572	17880_1#6
14873583	17880_1#17;17880_2#17
14873603	17880_1#37
3226STDY6190062	17675_5#1;17880_1#1;17880_2#1;17880_3#1;17880_4#1;17880_5#1;17880_6#1;17880_7#1
3226STDY6190063	17675_5#2;17880_1#2;17880_2#2;17880_3#2;17880_4#2;17880_5#2;17880_6#2;17880_7#2
3226STDY6190064	17675_5#3;17880_1#3;17880_2#3;17880_3#3;17880_4#3;17880_5#3;17880_6#3;17880_7#3
3226STDY6190065	17675_5#4;17880_1#4;17880_2#4;17880_3#4;17880_4#4;17880_5#4;17880_6#4;17880_7#4
3226STDY6190066	17675_5#5;17880_1#5;17880_2#5;17880_3#5;17880_4#5;17880_5#5;17880_6#5;17880_7#5
3226STDY6190067	17675_5#6;17880_2#6;17880_3#6;17880_4#6;17880_5#6;17880_6#6;17880_7#6
3226STDY6190068	17675_5#7;17880_1#7;17880_2#7;17880_3#7;17880_4#7;17880_5#7;17880_6#7;17880_7#7
3226STDY6190069	17675_5#8;17880_1#8;17880_2#8;17880_3#8;17880_4#8;17880_5#8;17880_6#8;17880_7#8
3226STDY6190070	17675_5#9;17880_1#9;17880_2#9;17880_3#9;17880_4#9;17880_5#9;17880_6#9;17880_7#9
3226STDY6190071	17675_5#10;17880_1#10;17880_2#10;17880_3#10;17880_4#10;17880_5#10;17880_6#10;17880_7#10
3226STDY6190072	17675_5#11;17880_1#11;17880_2#11;17880_3#11;17880_4#11;17880_5#11;17880_6#11;17880_7#11
3226STDY6190073	17675_5#12;17880_1#12;17880_2#12;17880_3#12;17880_4#12;17880_5#12;17880_6#12;17880_7#12
3226STDY6190074	17675_5#13;17880_1#13;17880_2#13;17880_3#13;17880_4#13;17880_5#13;17880_6#13;17880_7#13
3226STDY6190075	17675_5#14;17880_1#14;17880_2#14;17880_3#14;17880_4#14;17880_5#14;17880_6#14;17880_7#14
3226STDY6190076	17675_5#15;17880_1#15;17880_2#15;17880_3#15;17880_4#15;17880_5#15;17880_6#15;17880_7#15
3226STDY6190077	17675_5#16;17880_1#16;17880_2#16;17880_3#16;17880_4#16;17880_5#16;17880_6#16;17880_7#16
3226STDY6190078	17675_5#17;17880_3#17;17880_4#17;17880_5#17;17880_6#17;17880_7#17
3226STDY6190079	17675_5#18;17880_1#18;17880_2#18;17880_3#18;17880_4#18;17880_5#18;17880_6#18;17880_7#18
3226STDY6190080	17675_5#19;17880_1#19;17880_2#19;17880_3#19;17880_4#19;17880_5#19;17880_6#19;17880_7#19
3226STDY6190081	17675_5#20;17880_1#20;17880_2#20;17880_3#20;17880_4#20;17880_5#20;17880_6#20;17880_7#20
3226STDY6190082	17675_5#21;17880_1#21;17880_2#21;17880_3#21;17880_4#21;17880_5#21;17880_6#21;17880_7#21
3226STDY6190083	17675_5#22;17880_1#22;17880_2#22;17880_3#22;17880_4#22;17880_5#22;17880_6#22;17880_7#22
3226STDY6190084	17675_5#23;17880_1#23;17880_2#23;17880_3#23;17880_4#23;17880_5#23;17880_6#23;17880_7#23
3226STDY6190085	17675_5#24;17880_1#24;17880_2#24;17880_3#24;17880_4#24;17880_5#24;17880_6#24;17880_7#24
3226STDY6190086	17675_5#25;17880_1#25;17880_2#25;17880_3#25;17880_4#25;17880_5#25;17880_6#25;17880_7#25
3226STDY6190087	17675_5#26;17880_1#26;17880_2#26;17880_3#26;17880_4#26;17880_5#26;17880_6#26;17880_7#26
3226STDY6190088	17675_5#27;17880_1#27;17880_2#27;17880_3#27;17880_4#27;17880_5#27;17880_6#27;17880_7#27
3226STDY6190089	17675_5#28;17880_1#28;17880_2#28;17880_3#28;17880_4#28;17880_5#28;17880_6#28;17880_7#28
3226STDY6190090	17675_5#29;17880_1#29;17880_2#29;17880_3#29;17880_4#29;17880_5#29;17880_6#29;17880_7#29
3226STDY6190091	17675_5#30;17880_1#30;17880_2#30;17880_3#30;17880_4#30;17880_5#30;17880_6#30;17880_7#30
3226STDY6190092	17675_5#31;17880_1#31;17880_2#31;17880_3#31;17880_4#31;17880_5#31;17880_6#31;17880_7#31
3226STDY6190093	17675_5#32;17880_1#32;17880_2#32;17880_3#32;17880_4#32;17880_5#32;17880_6#32;17880_7#32
3226STDY6190094	17675_5#33;17880_1#33;17880_2#33;17880_3#33;17880_4#33;17880_5#33;17880_6#33;17880_7#33
3226STDY6190095	17675_5#34;17880_1#34;17880_2#34;17880_3#34;17880_4#34;17880_5#34;17880_6#34;17880_7#34
3226STDY6190096	17675_5#35;17880_1#35;17880_2#35;17880_3#35;17880_4#35;17880_5#35;17880_6#35;17880_7#35
3226STDY6190097	17675_5#36;17880_1#36;17880_2#36;17880_3#36;17880_4#36;17880_5#36;17880_6#36;17880_7#36
3226STDY6190098	17675_5#37;17880_2#37;17880_3#37;17880_4#37;17880_5#37;17880_6#37;17880_7#37
3226STDY6190099	17675_5#38;17880_1#38;17880_2#38;17880_3#38;17880_4#38;17880_5#38;17880_6#38;17880_7#38
3226STDY6190100	17675_5#39;17880_1#39;17880_2#39;17880_3#39;17880_4#39;17880_5#39;17880_6#39;17880_7#39
3226STDY6190101	17675_5#40;17880_1#40;17880_2#40;17880_3#40;17880_4#40;17880_5#40;17880_6#40;17880_7#40
