sample_id	short_fragment_count	long_fragment_count	length_ratio
ieki_A_ATAC	40132855	5764511	6.96205714587066
ieki_B_ATAC	33130806	6352382	5.21549333777471
hiaf_C_ATAC	31092019	6354303	4.89306521895478
hiaf_D_ATAC	28368479	7627908	3.71903790659248
nusw_A_ATAC	24569503	6940526	3.54000590157
xugn_D_ATAC	25555624	7327006	3.48786721342933
oapg_C_ATAC	27017332	7825496	3.45247534469381
pamv_D_ATAC	18292008	5417604	3.37640181895908
eojr_B_ATAC	31339514	9377597	3.34195572703753
joxm_B_ATAC	25329484	7826564	3.23634790439329
eipl_C_ATAC	25972619	8756096	2.96623278228105
bima_D_ATAC	25574159	8779103	2.9130719846891
joxm_A_ATAC	23737454	8151160	2.91215655195089
eojr_A_ATAC	29228282	10062236	2.90475019667597
uimo_A_ATAC	24912014	8820980	2.82417758571043
eofe_D_ATAC	28842393	10935197	2.63757415618575
bima_C_ATAC	31155947	12301930	2.53260642842221
podx_D_ATAC	21641367	8633492	2.50667597769246
xucm_A_ATAC	18947582	7772049	2.43791334820457
iisa_B_ATAC	19605758	8614353	2.27594086288314
hiaf_B_ATAC	16351515	7376664	2.2166544389171
bima_B_ATAC	25704234	11614679	2.21308173906485
febc_C_ATAC	20206542	9158934	2.2062111158351
eofe_C_ATAC	27258361	12413251	2.19590830798475
oapg_A_ATAC	20306342	9478625	2.14232992654525
bima_A_ATAC	19295138	9126407	2.11420967747768
ruyv_A_ATAC	25709223	12194540	2.10825689201889
eofe_A_ATAC	22190400	10538956	2.10555960191882
pelm_C_ATAC	19710367	9464985	2.08245094947324
heja_B_ATAC	19023397	9369223	2.03041351454651
eika_A_ATAC	21981228	10909450	2.01487957688059
pamv_C_ATAC	15489937	7695628	2.0128229950824
uimo_B_ATAC	25863973	13047125	1.98235036454391
podx_C_ATAC	21325516	10995405	1.93949345203746
pelm_B_ATAC	17226521	8901805	1.93517168709043
eipl_D_ATAC	21460114	11103976	1.93265133137896
eipl_A_ATAC	12525956	6566023	1.90769298249488
eofe_B_ATAC	23830246	12496317	1.90698155304479
pamv_B_ATAC	16341527	8765814	1.86423382928271
oapg_D_ATAC	18479146	10184214	1.81448916921816
cicb_D_ATAC	21839898	12224901	1.78650919136278
hiaf_A_ATAC	14648991	8304054	1.76407703996145
xucm_B_ATAC	18966741	10820144	1.75291022004883
cicb_C_ATAC	22525787	12917980	1.74375459630685
eipl_B_ATAC	15526114	8915115	1.74154949207049
pelm_D_ATAC	17627231	10323171	1.7075403478253
vass_D_ATAC	24113724	14265711	1.69032752731357
kuxp_D_ATAC	17876642	10589886	1.68808634956033
oefg_A_ATAC	14872769	8812878	1.68761771126299
iisa_A_ATAC	21494493	12796962	1.67965592146011
eika_B_ATAC	20997904	12565371	1.67109303816019
sukz_A_ATAC	20383342	12205924	1.66995485143116
pelm_A_ATAC	12440399	7482386	1.66262459595108
vass_A_ATAC	17031594	10387350	1.63964764834149
vass_B_ATAC	23007831	14087861	1.63316709328691
podx_B_ATAC	17308865	10625510	1.62899145546896
pahc_A_ATAC	20399414	12575280	1.62218368099955
cicb_A_ATAC	16363615	10098791	1.62035386216033
oapg_B_ATAC	20463381	12659920	1.61639101984847
pahc_B_ATAC	24676535	15680753	1.57368303677763
pamv_A_ATAC	11388866	7489507	1.52064294752645
heja_A_ATAC	14527745	9826631	1.4784054677539
sukz_B_ATAC	21639945	14641285	1.47800859009301
vass_C_ATAC	22816969	15492642	1.47276165033698
febc_D_ATAC	43717819	30009865	1.45678159498552
xugn_A_ATAC	13947468	9645685	1.44598004185291
ruyv_B_ATAC	19138836	13593013	1.4079907081675
xugn_C_ATAC	15049342	10705227	1.40579382389556
heja_D_ATAC	18609359	13294121	1.39981868677139
kuxp_C_ATAC	22447906	17196543	1.30537317878367
xugn_B_ATAC	16323402	12915073	1.26390319280425
oefg_B_ATAC	16447803	13200066	1.24603945162092
cicb_B_ATAC	14478733	11707971	1.23665603544799
febc_A_ATAC	10531000	8769048	1.20092853865095
kuxp_B_ATAC	16930772	14208745	1.19157406231163
heja_C_ATAC	18440511	15521674	1.18804911119767
nusw_B_ATAC	17328607	14719927	1.17722098757691
febc_B_ATAC	17116706	15446552	1.10812471288091
kuxp_A_ATAC	15282169	14004966	1.09119643703526
veqz_B_ATAC	13995780	13012464	1.0755672407624
veqz_A_ATAC	18061466	17717196	1.0194314043825
podx_A_ATAC	13702772	14189359	0.965707612302994
