"sample_id"	"genotype_id"	"MT"	"Assigned"	"assigned_frac"	"percent_duplication"	"peak_count"
"bima_A_ATAC"	"HPSI1113i-bima_1"	0.223128464519966	20213226	0.711097328445686	0.08686	180460
"bima_B_ATAC"	"HPSI1113i-bima_1"	0.153859900178631	27158360	0.727635816965607	0.106955	172172
"bima_C_ATAC"	"HPSI1113i-bima_1"	0.14644550652803	29720460	0.683802589431976	0.094512	208337
"bima_D_ATAC"	"HPSI1113i-bima_1"	0.117519740693119	23275756	0.677443730848284	0.079756	181080
"eofe_A_ATAC"	"HPSI1113i-eofe_1"	0.206663439906686	21807156	0.666188878821944	0.090006	170418
"eofe_B_ATAC"	"HPSI1113i-eofe_1"	0.0688768488892798	24086240	0.662946266684447	0.072381	173927
"eofe_C_ATAC"	"HPSI1113i-eofe_1"	0.0751992074855352	26937474	0.678918916575674	0.084075	186625
"eofe_D_ATAC"	"HPSI1113i-eofe_1"	0.142640514763618	25687477	0.645688915687569	0.080655	185831
"eika_B_ATAC"	"HPSI0913i-eika_2"	0.14116813599361	22589957	0.672937669260604	0.072753	183520
"eika_A_ATAC"	"HPSI0913i-eika_2"	0.190943687048322	22335107	0.678975319129791	0.083562	184202
"ieki_B_ATAC"	"HPSI1113i-ieki_2"	0.18617966330212	11340614	0.287119758129638	0.04856	100083
"ieki_A_ATAC"	"HPSI1113i-ieki_2"	0.158173182230037	13434932	0.292631922176722	0.048895	116645
"nusw_B_ATAC"	"HPSI1213i-nusw_1"	0.158366154848621	21838771	0.681297788094044	0.072037	203224
"nusw_A_ATAC"	"HPSI1213i-nusw_1"	0.36496054310667	22760988	0.722255295946651	0.124738	201563
"ruyv_B_ATAC"	"HPSI0713i-ruyv_1"	0.104438535757797	20693701	0.632106134517697	0.063646	173183
"ruyv_A_ATAC"	"HPSI0713i-ruyv_1"	0.120792658033895	24785361	0.653797769802596	0.081306	191638
"uimo_B_ATAC"	"HPSI0713i-uimo_1"	0.146009031637761	25510179	0.655485370663584	0.08565	188260
"uimo_A_ATAC"	"HPSI0713i-uimo_1"	0.285891194222182	23007901	0.681959110257684	0.107102	171202
"cicb_B_ATAC"	"HPSI0713i-cicb_3"	0.320628743159431	15723472	0.600323454020701	0.079198	161029
"cicb_A_ATAC"	"HPSI0713i-cicb_3"	0.310140070794959	16040124	0.60605040683275	0.089543	165647
"cicb_D_ATAC"	"HPSI0713i-cicb_3"	0.155462480193979	19751751	0.579721263614574	0.066931	163600
"cicb_C_ATAC"	"HPSI0713i-cicb_3"	0.221077327004624	19087796	0.538446865462727	0.068607	164249
"vass_B_ATAC"	"HPSI0114i-vass_1"	0.137444947712696	16495909	0.444596108781538	0.051486	138642
"vass_A_ATAC"	"HPSI0114i-vass_1"	0.563070223156362	16938056	0.617641433604549	0.107567	172766
"vass_D_ATAC"	"HPSI0114i-vass_1"	0.193210532921721	21993598	0.572955943483222	0.07022	186393
"vass_C_ATAC"	"HPSI0114i-vass_1"	0.137950362723303	23049114	0.601537918858733	0.069819	188795
"oefg_B_ATAC"	"HPSI0613i-oefg_2"	0.194056307633326	19395427	0.654058801609904	0.067393	170618
"oefg_A_ATAC"	"HPSI0613i-oefg_2"	0.440945005360597	15671161	0.66151562728606	0.108426	153018
"veqz_B_ATAC"	"HPSI0513i-veqz_6"	0.264927626056453	16305418	0.603599731350403	0.071363	171629
"veqz_A_ATAC"	"HPSI0513i-veqz_6"	0.265769135455477	21817271	0.609668659804139	0.077972	177526
"pahc_B_ATAC"	"HPSI1213i-pahc_4"	0.24409641130789	24443498	0.60554672771871	0.077771	177997
"pahc_A_ATAC"	"HPSI1213i-pahc_4"	0.416011905398638	18874292	0.572261095831209	0.088971	157036
"sukz_B_ATAC"	"HPSI0413i-sukz_1"	0.373786670424293	22183955	0.611338079131294	0.092722	178719
"sukz_A_ATAC"	"HPSI0413i-sukz_1"	0.419112662293794	19250016	0.590573352677535	0.099654	160427
"xucm_B_ATAC"	"HPSI0613i-xucm_3"	0.182991756469188	20839383	0.699489153048965	0.076793	181025
"xucm_A_ATAC"	"HPSI0613i-xucm_3"	0.205773388655444	18448611	0.690343850799662	0.094354	174594
"joxm_B_ATAC"	"HPSI0114i-joxm_1"	0.0761175491559031	18761048	0.565728899762178	0.074899	159506
"joxm_A_ATAC"	"HPSI0114i-joxm_1"	0.348016819560761	15973716	0.500824899046277	0.083549	140176
"iisa_A_ATAC"	"HPSI0114i-iisa_3"	0.219162366291176	19802649	0.577367543362666	0.074402	159943
"iisa_B_ATAC"	"HPSI0114i-iisa_3"	0.17384119947499	17952116	0.636037258391018	0.074598	165921
"eojr_B_ATAC"	"HPSI0613i-eojr_3"	0.0867414482392406	18687609	0.458871909738243	0.051049	167394
"eojr_A_ATAC"	"HPSI0613i-eojr_3"	0.124737469297415	16687926	0.424638106879198	0.055701	155958
"hiaf_B_ATAC"	"HPSI1013i-hiaf_2"	0.298788540520926	16327368	0.687988477348152	0.105632	149158
"hiaf_A_ATAC"	"HPSI1013i-hiaf_2"	0.457883012678274	15285703	0.665851665700424	0.112043	149875
"hiaf_D_ATAC"	"HPSI1013i-hiaf_2"	0.0874076657954767	7907908	0.219613703665739	0.045106	67937
"hiaf_C_ATAC"	"HPSI1013i-hiaf_2"	0.149337804017465	9022385	0.240873854763375	0.050825	78000
"kuxp_B_ATAC"	"HPSI1013i-kuxp_1"	0.1115765389909	19801800	0.635800542840825	0.082851	163331
"kuxp_A_ATAC"	"HPSI1013i-kuxp_1"	0.184310171223865	17249265	0.588873141693217	0.076022	148483
"kuxp_D_ATAC"	"HPSI1013i-kuxp_1"	0.188645298218458	12493577	0.438787848094188	0.068606	114362
"kuxp_C_ATAC"	"HPSI1013i-kuxp_1"	0.282432630438541	19437474	0.49020296384359	0.072951	157416
"podx_B_ATAC"	"HPSI1113i-podx_1"	0.247451684578225	16827779	0.602294892505879	0.101368	161252
"podx_A_ATAC"	"HPSI1113i-podx_1"	0.247203054667736	16722246	0.599409653622524	0.093625	163685
"podx_D_ATAC"	"HPSI1113i-podx_1"	0.278886251713605	15095740	0.498507670978346	0.076971	138658
"podx_C_ATAC"	"HPSI1113i-podx_1"	0.257138714384284	17517475	0.541889619981633	0.087499	147559
"xugn_B_ATAC"	"HPSI0314i-xugn_1"	0.240965162084231	18704686	0.639611232944953	0.097214	176463
"xugn_A_ATAC"	"HPSI0314i-xugn_1"	0.320240796648076	14802526	0.627316878144445	0.101386	160049
"xugn_D_ATAC"	"HPSI0314i-xugn_1"	0.128462362140362	17505168	0.532266309510938	0.07249	162714
"xugn_C_ATAC"	"HPSI0314i-xugn_1"	0.237052471642363	15141993	0.587837785113783	0.084419	155971
"oapg_B_ATAC"	"HPSI0913i-oapg_5"	0.184631924630615	21589577	0.651665067052639	0.083362	157933
"oapg_A_ATAC"	"HPSI0913i-oapg_5"	0.216085999272178	19199542	0.644479981202219	0.088496	168607
"oapg_D_ATAC"	"HPSI0913i-oapg_5"	0.211976949581975	13706648	0.478080924747425	0.064611	121618
"oapg_C_ATAC"	"HPSI0913i-oapg_5"	0.207037702179375	20854223	0.598416425830113	0.092438	166866
"pamv_B_ATAC"	"HPSI1013i-pamv_3"	0.29796194795609	17930446	0.714042464598233	0.098788	163861
"pamv_A_ATAC"	"HPSI1013i-pamv_3"	0.412453469639686	12519823	0.663066584371808	0.09672	139633
"pamv_D_ATAC"	"HPSI1013i-pamv_3"	0.226667604999457	12568782	0.530024876051982	0.083218	137441
"pamv_C_ATAC"	"HPSI1013i-pamv_3"	0.311456127713303	12253985	0.528434480103107	0.085918	139786
"eipl_B_ATAC"	"HPSI0114i-eipl_1"	0.29018369859858	11545648	0.472265654543708	0.086285	130239
"eipl_A_ATAC"	"HPSI0114i-eipl_1"	0.341614641660554	7971237	0.417403703623801	0.100404	107079
"eipl_D_ATAC"	"HPSI0114i-eipl_1"	0.13988117725185	16923025	0.519579168206653	0.06944	152792
"eipl_C_ATAC"	"HPSI0114i-eipl_1"	0.24211515350234	14861185	0.427838140721096	0.074492	142800
"febc_B_ATAC"	"HPSI0613i-febc_2"	0.513236282960545	17342532	0.532458738400104	0.104871	150056
"febc_A_ATAC"	"HPSI0613i-febc_2"	0.413248558161457	8824086	0.45709957193436	0.10134	111522
"febc_D_ATAC"	"HPSI0613i-febc_2"	0.400115313238623	31712153	0.430018180628596	0.106825	195310
"febc_C_ATAC"	"HPSI0613i-febc_2"	0.273667097513622	14635862	0.498308472604079	0.076068	142736
"heja_B_ATAC"	"HPSI0214i-heja_1"	0.184572803349404	10397411	0.366105402357066	0.103214	111374
"heja_A_ATAC"	"HPSI0214i-heja_1"	0.23255571295915	8970615	0.368225001329952	0.122728	102435
"heja_D_ATAC"	"HPSI0214i-heja_1"	0.114173433891483	17033933	0.533817355964094	0.080099	158307
"heja_C_ATAC"	"HPSI0214i-heja_1"	0.190527961077919	19746769	0.581344388240261	0.081842	163539
"pelm_B_ATAC"	"HPSI0214i-pelm_3"	0.256165852110404	12211353	0.46723315630309	0.077532	115623
"pelm_A_ATAC"	"HPSI0214i-pelm_3"	0.303435846229563	10065061	0.505098579188639	0.089005	128815
"pelm_D_ATAC"	"HPSI0214i-pelm_3"	0.141307760306748	12885093	0.460903123941983	0.056814	128927
"pelm_C_ATAC"	"HPSI0214i-pelm_3"	0.187298464160542	15084989	0.516953871848532	0.062065	152772
"babk_A_ATAC"	"HPSI1213i-babk_2"	0.602750025977492	10678186	0.477423595671196	0.139465	123397
"babk_B_ATAC"	"HPSI1213i-babk_2"	0.384335124242987	12448261	0.508314554033362	0.116693	126668
"babk_C_ATAC"	"HPSI1213i-babk_2"	0.432009365516306	4716727	0.233068314166798	0.155085	50437
"babk_D_ATAC"	"HPSI1213i-babk_2"	0.456376650921142	5507093	0.210921230312979	0.214115	53450
"coyi_A_ATAC"	"HPSI0913i-coyi_3"	0.454786044950166	7849222	0.627846546453731	0.141761	111801
"coyi_B_ATAC"	"HPSI0913i-coyi_3"	0.431972785968389	9582401	0.641135762410463	0.128464	103100
"coyi_C_ATAC"	"HPSI0913i-coyi_3"	0.591557755551567	8297640	0.390020219604353	0.120058	96136
"coyi_D_ATAC"	"HPSI0913i-coyi_3"	0.385297241068573	6733642	0.31185057682225	0.1026	70018
"diku_A_ATAC"	"HPSI0913i-diku_1"	0.399982423921641	16431322	0.647207341852465	0.111462	148443
"diku_B_ATAC"	"HPSI0913i-diku_1"	0.32913631018396	14308998	0.660350364627995	0.110444	139731
"diku_C_ATAC"	"HPSI0913i-diku_1"	0.452097795781853	17698075	0.486356397808828	0.091101	144889
"diku_D_ATAC"	"HPSI0913i-diku_1"	0.193993747097176	7010213	0.195160647410325	0.06893	55973
"eiwy_A_ATAC"	"HPSI0214i-eiwy_1"	0.413593812020643	12086953	0.663031798880779	0.123714	132474
"eiwy_B_ATAC"	"HPSI0214i-eiwy_1"	0.400866154294839	16664876	0.645404074948605	0.102937	150170
"eiwy_C_ATAC"	"HPSI0214i-eiwy_1"	0.453135859795569	13185199	0.514850187299554	0.105462	135191
"eiwy_D_ATAC"	"HPSI0214i-eiwy_1"	0.302453957654079	9807860	0.4044462839792	0.090776	99010
"fafq_A_ATAC"	"HPSI0314i-fafq_1"	0.463359111521379	13987764	0.655710780352121	0.126936	148764
"fafq_B_ATAC"	"HPSI0314i-fafq_1"	0.50745305888954	14580271	0.659793851288126	0.146439	145426
"fafq_C_ATAC"	"HPSI0314i-fafq_1"	0.30021860789046	21826170	0.626998387386267	0.116742	166968
"fafq_D_ATAC"	"HPSI0314i-fafq_1"	0.169076649746682	4600004	0.414696506879133	0.087027	58511
"fikt_A_ATAC"	"HPSI0114i-fikt_3"	0.508799760053343	6259324	0.560710950774653	0.150188	100138
"fikt_B_ATAC"	"HPSI0114i-fikt_3"	0.0983676687208666	3279593	0.104779151651916	0.077714	8751
"hehd_C_ATAC"	"HPSI1213i-hehd_2"	0.336370997475494	5520305	0.320971944706334	0.103586	72272
"hehd_D_ATAC"	"HPSI1213i-hehd_2"	0.248352910302544	3964874	0.192481936100666	0.097714	37015
"guss_A_ATAC"	"HPSI0813i-guss_1"	0.494860335772296	16903696	0.697189205432944	0.113773	153722
"guss_B_ATAC"	"HPSI0813i-guss_1"	0.379210131646741	19521493	0.685327024313311	0.092069	173625
"guss_C_ATAC"	"HPSI0813i-guss_1"	0.299400560080146	14409008	0.483811999941173	0.100203	123933
"guss_D_ATAC"	"HPSI0813i-guss_1"	0.356285810649081	13876015	0.433140013544195	0.080022	116136
"hayt_A_ATAC"	"HPSI1113i-hayt_1"	0.315747529329782	18093385	0.694534049274593	0.120733	164127
"hayt_B_ATAC"	"HPSI1113i-hayt_1"	0.16058551949294	19780890	0.758756569776764	0.133076	157164
"hayt_C_ATAC"	"HPSI1113i-hayt_1"	0.341879197835603	20024471	0.597708701886574	0.096597	164681
"hayt_D_ATAC"	"HPSI1113i-hayt_1"	0.309818415540119	20369487	0.628709157220539	0.102584	154746
"hehd_A_ATAC"	"HPSI1213i-hehd_2"	0.788625900119465	9577626	0.601203709806506	0.16959	117452
"hehd_B_ATAC"	"HPSI1213i-hehd_2"	0.575087330038879	11189997	0.609599611163597	0.130951	127787
"fikt_C_ATAC"	"HPSI0114i-fikt_3"	0.469639875129837	8741233	0.480132935219759	0.131626	102184
"fikt_D_ATAC"	"HPSI0114i-fikt_3"	0.301717390025625	12120655	0.43249826902993	0.090902	111416
"iill_A_ATAC"	"HPSI0813i-iill_1"	0.718799739739306	8218745	0.646308789167909	0.153621	115124
"iill_B_ATAC"	"HPSI0813i-iill_1"	0.426630792106937	17706568	0.711797334732923	0.126363	147211
"iill_C_ATAC"	"HPSI0813i-iill_1"	0.371841502073834	12914599	0.609084560163152	0.111368	132382
"iill_D_ATAC"	"HPSI0813i-iill_1"	0.276029290754818	12728643	0.50291828405585	0.08604	121222
"nukw_A_ATAC"	"HPSI0613i-nukw_1"	0.61759156651367	14782830	0.632899507691596	0.166268	129397
"nukw_B_ATAC"	"HPSI0613i-nukw_1"	0.427957437488704	11583398	0.654129400793331	0.169886	103221
"nukw_C_ATAC"	"HPSI0613i-nukw_1"	0.259942458378603	16462309	0.597783825788249	0.103008	133124
"nukw_D_ATAC"	"HPSI0613i-nukw_1"	0.234492649167015	17850501	0.645243508607759	0.104232	130996
"oevr_A_ATAC"	"HPSI0114i-oevr_3"	0.367520539789817	12463664	0.479995963981617	0.076321	151361
"oevr_B_ATAC"	"HPSI0114i-oevr_3"	0.407658701150867	14895619	0.498562496035848	0.087226	146377
"oevr_C_ATAC"	"HPSI0114i-oevr_3"	0.31962234015321	11084888	0.336305543879215	0.08509	119188
"oevr_D_ATAC"	"HPSI0114i-oevr_3"	0.171515043883457	10181246	0.387041137247721	0.102247	109462
"qaqx_A_ATAC"	"HPSI0314i-qaqx_1"	0.267599594866807	4157986	0.142789628341865	0.069182	31658
"qaqx_B_ATAC"	"HPSI0314i-qaqx_1"	0.324932104455503	6041634	0.185047399139383	0.080252	52520
"qaqx_C_ATAC"	"HPSI0314i-qaqx_1"	0.400400599335414	13316993	0.510056002393668	0.09997	130045
"qaqx_D_ATAC"	"HPSI0314i-qaqx_1"	0.30661352138567	9562711	0.355390033860629	0.072576	84600
"qolg_A_ATAC"	"HPSI1113i-qolg_3"	0.626019564909786	11664130	0.604164326099862	0.126536	132840
"qolg_B_ATAC"	"HPSI1113i-qolg_3"	0.561225389234655	11122165	0.602950739243395	0.130719	126299
"qolg_C_ATAC"	"HPSI1113i-qolg_3"	0.464354544201686	13977965	0.549976408164255	0.115314	147910
"qolg_D_ATAC"	"HPSI1113i-qolg_3"	0.345044067138392	14636966	0.508384278972431	0.079032	129109
"sojd_A_ATAC"	"HPSI0314i-sojd_3"	0.275177557264034	7380413	0.319258166863359	0.085641	84458
"sojd_B_ATAC"	"HPSI0314i-sojd_3"	0.241172550383818	9319252	0.322470287445127	0.096044	95012
