Input_PU1_TPP	SRR2016723
Input_PU1_IL4	SRR2016722
Input_PU1_IFNg	SRR2016721
Input_PU1_naive	SRR2016720
PU1_TPP	SRR2016719
PU1_IL4	SRR2016718
PU1_IFNg	SRR2016717
PU1_naive	SRR2016716
Input_TPP	SRR1842768;SRR1842769;SRR1842770
Input_IL4	SRR1842765;SRR1842766;SRR1842767
Input_IFNg	SRR1842762;SRR1842763;SRR1842764
Input_naive	SRR1842759;SRR1842760;SRR1842761
H3K27Me3_TPP	SRR1842756;SRR1842757;SRR1842758
H3K27Me3_IL4	SRR1842752;SRR1842754;SRR1842755
H3K27Me3_IFNg	SRR1842750;SRR1842751;SRR1842752
H3K27Me3_naive	SRR1842747;SRR1842748;SRR1842749
H3K27Ac_TPP	SRR1842744;SRR1842745;SRR1842746
H3K27Ac_IL4	SRR1842741;SRR1842742;SRR1842743
H3K27Ac_IFNg	SRR1842738;SRR1842739;SRR1842740
H3K27Ac_naive	SRR1842735;SRR1842736;SRR1842737
H3K4Me1_TPP	SRR1842732;SRR1842733;SRR1842734
H3K4Me1_IL4	SRR1842729;SRR1842730;SRR1842731
H3K4Me1_IFNg	SRR1842726;SRR1842727;SRR1842728
H3K4Me1_naive	SRR1842723;SRR1842724;SRR1842725
