sample_id	Assigned	Unassigned_Ambiguity	Unassigned_NoFeatures	assigned_frac	ambiguity_frac
bima_A_ATAC	20213226	0	8212174	0.711097328445686	0
bima_B_ATAC	27158360	0	10165751	0.727635816965607	0
bima_C_ATAC	29720460	0	13743049	0.683802589431976	0
bima_D_ATAC	23275756	0	11082457	0.677443730848284	0
eofe_A_ATAC	21807156	0	10927038	0.666188878821944	0
eofe_B_ATAC	24086240	0	12245875	0.662946266684447	0
eofe_C_ATAC	26937474	0	12739538	0.678918916575674	0
eofe_D_ATAC	25687477	0	14095577	0.645688915687569	0
eika_B_ATAC	22589957	0	10979210	0.672937669260604	0
eika_A_ATAC	22335107	0	10560208	0.678975319129791	0
ieki_B_ATAC	11340614	0	28157239	0.287119758129638	0
ieki_A_ATAC	13434932	0	32475753	0.292631922176722	0
nusw_B_ATAC	21838771	0	10215892	0.681297788094044	0
nusw_A_ATAC	22760988	0	8752783	0.722255295946651	0
ruyv_B_ATAC	20693701	0	12043999	0.632106134517697	0
ruyv_A_ATAC	24785361	0	13124467	0.653797769802596	0
uimo_B_ATAC	25510179	0	13407820	0.655485370663584	0
uimo_A_ATAC	23007901	0	10730047	0.681959110257684	0
cicb_B_ATAC	15723472	0	10468195	0.600323454020701	0
cicb_A_ATAC	16040124	0	10426526	0.60605040683275	0
cicb_D_ATAC	19751751	0	14319366	0.579721263614574	0
cicb_C_ATAC	19087796	0	16361934	0.538446865462727	0
vass_B_ATAC	16495909	0	20607225	0.444596108781538	0
vass_A_ATAC	16938056	0	10485713	0.617641433604549	0
vass_D_ATAC	21993598	0	16392596	0.572955943483222	0
vass_C_ATAC	23049114	0	15267862	0.601537918858733	0
oefg_B_ATAC	19395427	0	10258523	0.654058801609904	0
oefg_A_ATAC	15671161	0	8018621	0.66151562728606	0
veqz_B_ATAC	16305418	0	10708209	0.603599731350403	0
veqz_A_ATAC	21817271	0	13968185	0.609668659804139	0
pahc_B_ATAC	24443498	0	15922500	0.60554672771871	0
pahc_A_ATAC	18874292	0	14107667	0.572261095831209	0
sukz_B_ATAC	22183955	0	14103585	0.611338079131294	0
sukz_A_ATAC	19250016	0	13345454	0.590573352677535	0
xucm_B_ATAC	20839383	0	8952906	0.699489153048965	0
xucm_A_ATAC	18448611	0	8275189	0.690343850799662	0
joxm_B_ATAC	18761048	0	14401564	0.565728899762178	0
joxm_A_ATAC	15973716	0	15921096	0.500824899046277	0
iisa_A_ATAC	19802649	0	14495519	0.577367543362666	0
iisa_B_ATAC	17952116	0	10272828	0.636037258391018	0
eojr_B_ATAC	18687609	0	22037501	0.458871909738243	0
eojr_A_ATAC	16687926	0	22611246	0.424638106879198	0
hiaf_B_ATAC	16327368	0	7404669	0.687988477348152	0
hiaf_A_ATAC	15285703	0	7670916	0.665851665700424	0
hiaf_D_ATAC	7907908	0	28100355	0.219613703665739	0
hiaf_C_ATAC	9022385	0	28434503	0.240873854763375	0
kuxp_B_ATAC	19801800	0	11342873	0.635800542840825	0
kuxp_A_ATAC	17249265	0	12042723	0.588873141693217	0
kuxp_D_ATAC	12493577	0	15979356	0.438787848094188	0
kuxp_C_ATAC	19437474	0	20214416	0.49020296384359	0
podx_B_ATAC	16827779	0	11111656	0.602294892505879	0
podx_A_ATAC	16722246	0	11175613	0.599409653622524	0
podx_D_ATAC	15095740	0	15186121	0.498507670978346	0
