Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
oarz A	Default	11/6/2014	6:02 PM	265.39	6.635	3.234	2.05	1.87	40.00	230	3.542	0.007
oarz B	Default	11/6/2014	6:04 PM	279.78	6.995	3.505	2.00	2.07	40.00	230	3.381	0.015
oarz C	Default	11/6/2014	6:05 PM	227.36	5.684	2.767	2.05	1.89	40.00	230	3.007	0.034
oarz D	Default	11/6/2014	6:06 PM	215.87	5.397	2.687	2.01	2.06	40.00	230	2.619	-0.000
darw A	Default	11/6/2014	6:07 PM	57.19	1.430	0.741	1.93	2.02	40.00	230	0.708	-0.001
darw B	Default	11/6/2014	6:08 PM	101.32	2.533	1.264	2.00	2.05	40.00	230	1.234	-0.006
darw C	Default	11/6/2014	6:08 PM	64.27	1.607	0.833	1.93	1.86	40.00	230	0.865	-0.006
darw D	Default	11/6/2014	6:09 PM	58.62	1.466	0.754	1.94	2.07	40.00	230	0.709	-0.187
zuta A	Default	11/6/2014	6:10 PM	116.83	2.921	1.480	1.97	1.44	40.00	230	2.035	-0.005
zuta B	Default	11/6/2014	6:11 PM	147.45	3.686	1.797	2.05	2.02	40.00	230	1.827	0.007
zuta C	Default	11/6/2014	6:12 PM	80.40	2.010	1.028	1.95	1.23	40.00	230	1.636	0.031
zuta D	Default	11/6/2014	6:13 PM	63.89	1.597	0.836	1.91	1.60	40.00	230	0.997	-0.006
giuo A	Default	11/6/2014	6:14 PM	280.79	7.020	3.464	2.03	2.11	40.00	230	3.329	0.019
giuo B	Default	11/6/2014	6:15 PM	320.78	8.019	3.955	2.03	2.00	40.00	230	4.007	0.020
giuo C	Default	11/6/2014	6:16 PM	259.51	6.488	3.197	2.03	2.13	40.00	230	3.043	0.030
giuo D	Default	11/6/2014	6:17 PM	255.26	6.381	3.155	2.02	2.08	40.00	230	3.075	-0.012
