Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
riiv A	Default	12/7/2014	4:56 PM	39.06	0.977	0.452	2.16	1.74	40.00	230	0.563	0.020
riiv B	Default	12/7/2014	4:56 PM	74.58	1.865	0.852	2.19	2.13	40.00	230	0.874	-0.013
riiv C	Default	12/7/2014	4:57 PM	16.15	0.404	0.170	2.38	1.68	40.00	230	0.240	-0.008
riiv D	Default	12/7/2014	4:58 PM	14.56	0.364	0.162	2.25	1.63	40.00	230	0.223	-0.002
voas A	Default	12/7/2014	4:59 PM	129.58	3.239	1.510	2.15	2.12	40.00	230	1.529	-0.003
voas B	Default	12/7/2014	4:59 PM	145.22	3.631	1.731	2.10	2.14	40.00	230	1.700	0.000
voas C	Default	12/7/2014	5:00 PM	93.41	2.335	1.097	2.13	1.94	40.00	230	1.203	0.011
voas D	Default	12/7/2014	5:00 PM	67.04	1.676	0.794	2.11	1.92	40.00	230	0.875	-0.002
fpdj A	Default	12/7/2014	5:01 PM	97.89	2.447	1.145	2.14	2.11	40.00	230	1.162	-0.007
fpdj B	Default	12/7/2014	5:02 PM	175.10	4.377	2.083	2.10	2.19	40.00	230	1.998	-0.010
fpdj C	Default	12/7/2014	5:02 PM	70.37	1.759	0.784	2.24	2.20	40.00	230	0.800	-0.006
fpdj D	Default	12/7/2014	5:03 PM	34.47	0.862	0.357	2.42	1.70	40.00	230	0.508	-0.007
debk A	Default	12/7/2014	5:04 PM	69.56	1.739	0.794	2.19	2.04	40.00	230	0.852	-0.011
debk B	Default	12/7/2014	5:04 PM	85.57	2.139	0.990	2.16	2.00	40.00	230	1.070	0.000
debk C	Default	12/7/2014	5:05 PM	100.39	2.510	1.165	2.16	2.03	40.00	230	1.235	-0.005
debk D	Default	12/7/2014	5:06 PM	40.27	1.007	0.440	2.29	2.19	40.00	230	0.459	-0.006
