Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
oarz A	Default	9/8/2014	4:13 PM	48.76	1.219	0.579	2.11	1.78	40.00	230	0.685	-0.008
oarz B	Default	9/8/2014	4:15 PM	57.85	1.446	0.686	2.11	1.90	40.00	230	0.760	0.030
oarz C	Default	9/8/2014	4:15 PM	32.78	0.820	0.370	2.22	2.03	40.00	230	0.403	0.014
oarz D	Default	9/8/2014	4:16 PM	42.26	1.057	0.495	2.14	1.49	40.00	230	0.710	0.018
funp A	Default	9/8/2014	4:18 PM	131.28	3.282	1.555	2.11	2.05	40.00	230	1.599	0.019
funp B	Default	9/8/2014	4:19 PM	159.81	3.995	1.899	2.10	2.08	40.00	230	1.924	0.010
funp C	Default	9/8/2014	4:19 PM	103.33	2.583	1.219	2.12	1.94	40.00	230	1.334	0.022
funp D	Default	9/8/2014	4:20 PM	103.75	2.594	1.207	2.15	2.10	40.00	230	1.234	0.033
yuze A	Default	9/8/2014	4:25 PM	156.39	3.910	1.842	2.12	2.07	40.00	230	1.888	0.012
yuze B	Default	9/8/2014	4:26 PM	123.50	3.087	1.448	2.13	1.90	40.00	230	1.627	0.030
yuze C	Default	9/8/2014	4:27 PM	174.13	4.353	2.057	2.12	2.02	40.00	230	2.158	0.029
yuze D	Default	9/8/2014	4:28 PM	92.97	2.324	1.093	2.13	2.10	40.00	230	1.108	0.013
