# fpdl and eofe samples were done with one well per condition, need to double the RNA concentration.
# gomv_3 D condition had 21.5 ul of RNA before measuring concentration, hence the very high value.
# aipt A was done on a different day, only use samples B-D to estimate mean concentration.
# oarz samples from 08/09/14 not sequenced, because oarz A was degraded.
# ffdk samples not sequenced, becuase of low purity (~80% CD14 positive)
# zuta 6/11/14 not submitted because of low RNA purity
# oeoo 22/9/14 not submitted because too high RNA concentration
# riiv and meqo not subimtted because of low concentration
# ieki A,B only one well per condition
# dium (ougl_X_2) 1 well per sample for all conditions
# ruyv_C concentration after clean-up, lost par of the sample (5/24/2015)
# pelm 1 well per sample
sample_name	sample_id	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
peop A	peop_A	Default	6/6/2014	2:07 PM	72.10	1.803	0.870	2.07	2.24	40.00	230	0.803	0.011
peop B	peop_B	Default	6/6/2014	2:09 PM	113.82	2.846	1.377	2.07	1.88	40.00	230	1.515	0.016
peop C	peop_C	Default	6/6/2014	2:11 PM	51.71	1.293	0.628	2.06	2.03	40.00	230	0.636	0.007
peop D	peop_D	Default	6/6/2014	2:12 PM	41.32	1.033	0.508	2.03	2.23	40.00	230	0.463	0.008
fpdl A	fpdl_A_2	Default	6/6/2014	2:13 PM	81.06	2.027	0.969	2.09	2.21	40.00	230	0.915	0.008
fpdl B	fpdl_B_2	Default	6/6/2014	2:14 PM	162.00	4.050	1.973	2.05	2.13	40.00	230	1.901	0.011
fpdl C	fpdl_C_2	Default	6/6/2014	2:15 PM	111.95	2.799	1.356	2.06	2.18	40.00	230	1.286	-0.039
fpdl D	fpdl_D_2	Default	6/6/2014	2:16 PM	71.26	1.781	0.851	2.09	1.96	40.00	230	0.907	0.007
ougl A	ougl_A	Default	6/9/2014	4:16 PM	128.41	3.210	1.544	2.08	2.04	40.00	230	1.577	-0.001
ougl B	ougl_B	Default	6/9/2014	4:16 PM	132.44	3.311	1.613	2.05	2.12	40.00	230	1.560	-0.003
ougl C	ougl_C	Default	6/6/2014	2:17 PM	122.42	3.060	1.482	2.07	2.21	40.00	230	1.387	0.017
ougl D	ougl_D	Default	6/6/2014	2:18 PM	51.16	1.279	0.613	2.09	1.91	40.00	230	0.669	0.009
iasn A	iasn_A	Default	6/9/2014	4:07 PM	156.21	3.905	1.908	2.05	2.02	40.00	230	1.938	-0.002
iasn B	iasn_B	Default	6/9/2014	4:08 PM	139.10	3.477	1.705	2.04	2.18	40.00	230	1.597	-0.007
iasn C	iasn_C	Default	6/9/2014	4:09 PM	125.05	3.126	1.522	2.05	2.12	40.00	230	1.478	0.011
iasn D	iasn_D	Default	6/9/2014	4:10 PM	126.79	3.170	1.579	2.01	1.51	40.00	230	2.101	0.285
ffdk A	NA	Default	6/9/2014	4:12 PM	257.01	6.425	3.135	2.05	2.02	40.00	230	3.174	0.003
ffdk B	NA	Default	6/9/2014	4:13 PM	329.62	8.240	4.038	2.04	2.00	40.00	230	4.112	0.005
ffdk C	NA	Default	6/9/2014	4:14 PM	183.44	4.586	2.218	2.07	1.89	40.00	230	2.423	0.017
ffdk D	NA	Default	6/9/2014	4:15 PM	222.96	5.574	2.712	2.06	1.98	40.00	230	2.818	0.008
aipt A	aipt_A	Default	7/9/2014	3:24 PM	79.39	1.985	0.978	2.03	1.87	40.00	230	1.059	0.018
aipt B	aipt_B	Default	6/24/2014	9:51 PM	267.66	6.691	3.264	2.05	2.13	40.00	230	3.134	0.014
aipt C	aipt_C	Default	6/24/2014	9:52 PM	289.17	7.229	3.537	2.04	2.18	40.00	230	3.313	0.551
aipt D	aipt_D	Default	6/24/2014	9:53 PM	258.69	6.467	3.149	2.05	2.20	40.00	230	2.944	0.032
liun A	liun_A	Default	6/24/2014	9:55 PM	151.29	3.782	1.844	2.05	2.31	40.00	230	1.639	0.010
liun B	liun_B	Default	6/24/2014	9:56 PM	318.17	7.954	3.861	2.06	2.21	40.00	230	3.602	0.010
liun C	liun_C	Default	6/24/2014	9:57 PM	190.86	4.771	2.316	2.06	2.19	40.00	230	2.177	0.009
liun D	liun_D	Default	6/24/2014	9:58 PM	177.98	4.450	2.154	2.07	2.25	40.00	230	1.978	0.008
oomz A	oomz_A	Default	7/9/2014	3:11 PM	228.61	5.715	2.777	2.06	2.12	40.00	230	2.697	0.017
oomz B	oomz_B	Default	7/9/2014	3:12 PM	242.96	6.074	2.956	2.05	2.09	40.00	230	2.907	0.008
oomz C	oomz_C	Default	7/9/2014	3:13 PM	178.26	4.456	2.164	2.06	2.07	40.00	230	2.148	-0.007
oomz D	oomz_D	Default	7/9/2014	3:14 PM	99.99	2.500	1.220	2.05	1.95	40.00	230	1.281	-0.002
qanu A	qanu_A	Default	7/9/2014	3:15 PM	84.82	2.120	1.027	2.06	2.03	40.00	230	1.045	0.005
qanu B	qanu_B	Default	7/9/2014	3:16 PM	98.31	2.458	1.203	2.04	2.03	40.00	230	1.208	0.005
qanu C	qanu_C	Default	7/9/2014	3:17 PM	58.93	1.473	0.722	2.04	2.01	40.00	230	0.731	-0.003
qanu D	qanu_D	Default	7/9/2014	3:18 PM	41.54	1.038	0.508	2.05	1.20	40.00	230	0.863	-0.000
zisa A	zisa_A	Default	7/15/2014	8:13 PM	91.74	2.293	1.126	2.04	1.98	40.00	230	1.159	-0.020
zisa B	zisa_B	Default	7/15/2014	8:14 PM	144.07	3.602	1.754	2.05	2.02	40.00	230	1.782	-0.008
zisa C	zisa_C	Default	7/15/2014	8:15 PM	112.12	2.803	1.379	2.03	2.02	40.00	230	1.387	-0.001
zisa D	zisa_D	Default	7/15/2014	8:16 PM	119.44	2.986	1.462	2.04	1.98	40.00	230	1.508	-0.001
hikj A	hikj_A	Default	7/15/2014	8:17 PM	157.29	3.932	1.919	2.05	2.09	40.00	230	1.881	-0.001
hikj B	hikj_B	Default	7/15/2014	8:17 PM	186.89	4.672	2.290	2.04	2.07	40.00	230	2.255	0.004
hikj C	hikj_C	Default	7/15/2014	8:18 PM	153.84	3.846	1.880	2.05	2.04	40.00	230	1.882	-0.007
hikj D	hikj_D	Default	7/15/2014	8:19 PM	156.20	3.905	1.900	2.05	2.07	40.00	230	1.886	-0.006
qimz A	qimz_A	Default	7/15/2014	8:20 PM	335.72	8.393	4.110	2.04	2.12	40.00	230	3.952	-0.004
qimz B	qimz_B	Default	7/15/2014	8:21 PM	342.45	8.561	4.196	2.04	2.13	40.00	230	4.026	-0.008
qimz C	qimz_C	Default	7/15/2014	8:21 PM	266.34	6.658	3.241	2.05	2.12	40.00	230	3.136	0.002
qimz D	qimz_D	Default	7/15/2014	8:22 PM	285.32	7.133	3.483	2.05	2.12	40.00	230	3.365	-0.001
oarz A	NA	Default	9/8/2014	4:13 PM	48.76	1.219	0.579	2.11	1.78	40.00	230	0.685	-0.008
oarz B	NA	Default	9/8/2014	4:15 PM	57.85	1.446	0.686	2.11	1.90	40.00	230	0.760	0.030
oarz C	NA	Default	9/8/2014	4:15 PM	32.78	0.820	0.370	2.22	2.03	40.00	230	0.403	0.014
oarz D	NA	Default	9/8/2014	4:16 PM	42.26	1.057	0.495	2.14	1.49	40.00	230	0.710	0.018
funp A	funp_A	Default	9/8/2014	4:18 PM	131.28	3.282	1.555	2.11	2.05	40.00	230	1.599	0.019
funp B	funp_B	Default	9/8/2014	4:19 PM	159.81	3.995	1.899	2.10	2.08	40.00	230	1.924	0.010
funp C	funp_C	Default	9/8/2014	4:19 PM	103.33	2.583	1.219	2.12	1.94	40.00	230	1.334	0.022
funp D	funp_D	Default	9/8/2014	4:20 PM	103.75	2.594	1.207	2.15	2.10	40.00	230	1.234	0.033
yuze A	yuze_A	Default	9/8/2014	4:25 PM	156.39	3.910	1.842	2.12	2.07	40.00	230	1.888	0.012
yuze B	yuze_B	Default	9/8/2014	4:26 PM	123.50	3.087	1.448	2.13	1.90	40.00	230	1.627	0.030
yuze C	yuze_C	Default	9/8/2014	4:27 PM	174.13	4.353	2.057	2.12	2.02	40.00	230	2.158	0.029
yuze D	yuze_D	Default	9/8/2014	4:28 PM	92.97	2.324	1.093	2.13	2.10	40.00	230	1.108	0.013
