Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805865_2015-06-08_17-02-36.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2015-06-08
Date Created,"Monday, June 08, 2015 5:02:35 PM"
Date Last Modified,"Monday, June 08, 2015 5:26:26 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,pahc_A
 
Peak Table
Time corrected area,Area,Aligned Migration Time [s],Peak Height,Peak Width
14.6,4.2,27.21,11.4,1.2
1.9,0.6,30.03,0.5,1.7
2.1,0.7,32.29,1.3,1.0
1.6,0.6,33.75,1.1,0.9
1.2,0.4,35.12,0.8,0.8
4.5,1.8,37.42,2.1,1.4
5.5,2.2,38.22,2.4,1.1
14.3,6.1,40.10,4.6,1.9
124.0,55.5,42.18,126.5,2.4
10.1,4.7,44.01,6.9,0.9
16.9,8.1,45.00,8.5,1.1
11.1,5.4,45.85,8.3,0.8
13.6,6.7,46.65,10.5,0.8
12.3,6.2,47.49,9.7,0.7
206.7,108.6,49.47,102.1,3.6
5.8,3.2,52.63,2.2,2.4
 
Fragment Table
Name,Start Time [s],End Time [s],Area,% of total Area
18S,41.89,43.31,100.4,21.2
28S,47.92,51.21,172.7,36.5
 
Overall Results:
RNA Area:,473.4378,
RNA Concentration:,285.7959,ng/µl
rRNA Ratio [28s / 18s]:,1.720029,
RNA Integrity Number (RIN):,9.3   (B.02.08),
Result Flagging Color:,16768991,
Result Flagging Label:,RIN: 9.30,
 
Sample Name,pahc_B
 
Peak Table
Time corrected area,Area,Aligned Migration Time [s],Peak Height,Peak Width
17.2,5.0,27.22,13.4,1.4
1.6,0.5,30.08,1.0,0.7
3.7,1.3,32.32,2.3,1.2
2.5,0.9,33.73,1.5,0.9
3.5,1.3,35.69,1.2,1.5
6.5,2.6,37.42,3.1,1.5
6.8,2.8,38.22,3.1,1.1
17.7,7.6,40.09,5.9,1.9
150.0,67.6,42.15,146.1,2.5
12.4,5.8,44.02,9.1,0.9
21.1,10.1,44.95,10.6,1.1
13.1,6.4,45.80,10.4,0.7
16.7,8.3,46.59,12.9,0.8
16.0,8.1,47.53,12.4,0.7
255.1,134.8,49.44,125.3,3.8
6.0,3.4,52.77,2.3,2.2
 
Fragment Table
Name,Start Time [s],End Time [s],Area,% of total Area
18S,41.40,43.36,128.7,22.3
28S,48.27,51.13,200.9,34.8
 
Overall Results:
RNA Area:,576.7834,
RNA Concentration:,348.1816,ng/µl
rRNA Ratio [28s / 18s]:,1.561526,
RNA Integrity Number (RIN):,9.3   (B.02.08),
Result Flagging Color:,16768991,
Result Flagging Label:,RIN: 9.30,
 
Sample Name,pahc_C
 
Peak Table
Time corrected area,Area,Aligned Migration Time [s],Peak Height,Peak Width
15.8,4.6,27.24,12.2,1.3
1.4,0.5,30.08,0.9,0.7
2.9,1.0,32.31,1.6,1.1
2.4,0.9,33.70,1.4,0.9
3.5,1.3,35.70,1.1,1.5
5.9,2.4,37.38,2.7,1.4
6.4,2.6,38.21,3.0,1.1
