sample_id	ng_ul	RIN	batch
qimz_A	372	10	070115_1
qimz_B	405	10	070115_1
qimz_C	261	NA	070115_1
qimz_D	307	10	070115_1
oarz_A	58	2.2	070115_1
oarz_B	47	10	070115_1
oarz_C	32	9.9	070115_1
oarz_D	43	9.7	070115_1
funp_A	155	10	070115_1
funp_B	188	9.9	070115_1
funp_C	128	9.8	070115_1
funp_D	114	9.1	070115_1
yuze_A	145	10	070115_2
yuze_B	124	10	070115_2
yuze_C	153	10	070115_2
yuze_D	75	10	070115_2
coxy_A	169	10	070115_2
coxy_B	123	10	070115_2
coxy_C	72	10	070115_2
coxy_D	96	10	070115_2
fpdj_A	117	10	070115_2
fpdj_B	181	10	070115_2
fpdj_C	104	10	070115_2
fpdj_D	108	10	070115_2
huls_A	161	10	070115_3
huls_B	176	NA	070115_3
huls_C	79	10	070115_3
huls_D	140	10	070115_3
kaks_A	81	10	070115_3
kaks_A	129	10	070115_3
kaks_A	109	10	070115_3
kaks_A	81	10	070115_3
fpdl_A	41	9.9	070115_3
fpdl_B	46	10	070115_3
fpdl_C	34	9.7	070115_3
fpdl_D	26	9.8	070115_3
golb_A	211	10	070115_4
golb_B	271	10	070115_4
golb_C	179	10	070115_4
golb_D	182	10	070115_4
gomv_A	160	10	070115_4
gomv_B	165	10	070115_4
gomv_C	114	10	070115_4
gomv_D	156	10	070115_4
giuo_A	274	10	070115_4
giuo_B	324	10	070115_4
giuo_C	259	10	070115_4
giuo_D	297	10	070115_4
ffdm_A	NA	10	230315_1
ffdm_B	NA	10	230315_1
ffdm_C	NA	10	230315_1
ffdm_D	NA	10	230315_1
oeoo_A	NA	10	230315_1
oeoo_B	NA	10	230315_1
oeoo_C	NA	10	230315_1
oeoo_D	NA	10	230315_1
darw_A	NA	10	230315_1
darw_B	NA	10	230315_1
darw_C	NA	10	230315_1
darw_D	NA	10	230315_1
zuta_A	NA	10	230315_2
zuta_B	NA	10	230315_2
zuta_C	NA	10	230315_2
zuta_D	NA	10	230315_2
cehw_A	NA	10	230315_2
cehw_B	NA	10	230315_2
cehw_C	NA	10	230315_2
cehw_D	NA	10	230315_2
cuau_A	NA	10	230315_2
cuau_B	NA	10	230315_2
cuau_C	NA	10	230315_2
cuau_D	NA	10	230315_2
vorx_A	NA	10	230315_3
vorx_B	NA	10	230315_3
vorx_C	NA	10	230315_3
vorx_D	NA	10	230315_3
coio_A	NA	10	230315_3
coio_B	NA	10	230315_3
coio_C	NA	10	230315_3
coio_D	NA	10	230315_3
voas_A	NA	10	230315_3
voas_B	NA	10	230315_3
voas_C	NA	10	230315_3
voas_D	NA	10	230315_3
debk_A	NA	10	230315_4
debk_B	NA	10	230315_4
debk_C	NA	10	230315_4
debk_D	NA	10	230315_4
oarz_A_2	NA	10	230315_4
oarz_B_2	NA	10	230315_4
oarz_C_2	NA	10	230315_4
oarz_D_2	NA	10	230315_4
fpdj_A_2	NA	10	230315_4
fpdj_B_2	NA	10	230315_4
fpdj_C_2	NA	10	230315_4
fpdj_D_2	NA	9.9	230315_4
