sample_name	sample_id	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
mijn A	mijn_A	Default	6/8/2015	7:15 PM	115.47	2.887	1.414	2.04	1.78	40.00	230	1.619	0.028
mijn B	mijn_B	Default	6/8/2015	7:17 PM	144.47	3.612	1.775	2.04	1.89	40.00	230	1.915	0.026
mijn C	mijn_C	Default	6/8/2015	7:17 PM	156.68	3.917	1.920	2.04	1.92	40.00	230	2.038	0.022
mijn D	mijn_D	Default	6/8/2015	7:19 PM	178.73	4.468	2.165	2.06	1.92	40.00	230	2.322	0.012
eojr B	eojr_B	Default	6/8/2015	7:20 PM	335.03	8.376	4.098	2.04	2.00	40.00	230	4.192	0.034
eojr C	eojr_C	Default	6/8/2015	7:21 PM	108.78	2.719	1.321	2.06	1.51	40.00	230	1.806	0.019
eojr D	eojr_D	Default	6/8/2015	7:22 PM	232.36	5.809	2.851	2.04	1.95	40.00	230	2.983	0.017
sukz A	sukz_A	Default	6/8/2015	7:23 PM	290.20	7.255	3.557	2.04	2.08	40.00	230	3.490	0.021
sukz B	sukz_B	Default	6/8/2015	7:25 PM	301.43	7.536	3.692	2.04	2.05	40.00	230	3.670	0.015
sukz C	sukz_C	Default	6/8/2015	7:25 PM	199.42	4.985	2.419	2.06	2.07	40.00	230	2.404	0.014
sukz D	sukz_D	Default	6/8/2015	7:26 PM	250.22	6.256	3.084	2.03	1.99	40.00	230	3.144	0.012
kolf A	kolf_A	Default	6/9/2015	3:40 PM	237.58	5.939	2.937	2.02	1.98	40.00	230	2.993	0.702
kolf B	kolf_B	Default	6/9/2015	3:42 PM	272.69	6.817	3.347	2.04	2.10	40.00	230	3.253	0.033
kolf C	kolf_C	Default	6/9/2015	3:43 PM	313.16	7.829	3.847	2.04	2.06	40.00	230	3.795	0.037
kolf D	kolf_D	Default	6/9/2015	3:44 PM	290.53	7.263	3.583	2.03	2.00	40.00	230	3.632	0.024
veqz A	veqz_A	Default	6/9/2015	4:22 PM	239.53	5.988	2.971	2.02	1.95	40.00	230	3.073	0.020
veqz B	veqz_B	Default	6/9/2015	4:24 PM	297.76	7.444	3.644	2.04	2.05	40.00	230	3.632	0.037
veqz C	veqz_C	Default	6/9/2015	4:28 PM	124.96	3.124	1.514	2.06	1.82	40.00	230	1.714	0.030
veqz D	veqz_D	Default	6/9/2015	4:30 PM	191.81	4.795	2.350	2.04	1.84	40.00	230	2.613	0.040
joxm A	joxm_A	Default	6/9/2015	4:34 PM	225.69	5.642	2.770	2.04	1.95	40.00	230	2.889	0.029
joxm B	joxm_B	Default	6/9/2015	4:40 PM	430.83	10.771	5.355	2.01	2.11	40.00	230	5.107	0.034
joxm C	joxm_C	Default	6/9/2015	4:45 PM	581.62	14.540	7.133	2.04	2.15	40.00	230	6.766	-0.011
joxm D	joxm_D	Default	6/9/2015	4:46 PM	319.01	7.975	3.920	2.03	2.01	40.00	230	3.961	0.032
bubh A	bubh_A	Default	6/9/2015	4:49 PM	178.96	4.474	2.206	2.03	1.94	40.00	230	2.302	0.011
bubh B	bubh_B	Default	6/9/2015	4:51 PM	228.37	5.709	2.775	2.06	1.87	40.00	230	3.056	0.024
bubh C	bubh_C	Default	6/9/2015	4:53 PM	112.81	2.820	1.355	2.08	1.75	40.00	230	1.610	0.017
bubh D	bubh_D	Default	6/9/2015	4:53 PM	75.56	1.889	0.912	2.07	1.80	40.00	230	1.049	0.011
iisa A	iisa_A	Default	6/9/2015	4:55 PM	285.86	7.147	3.515	2.03	1.66	40.00	230	4.317	0.017
iisa B	iisa_B	Default	6/9/2015	4:57 PM	447.74	11.194	5.503	2.03	2.05	40.00	230	5.462	0.016
iisa C	iisa_C	Default	6/9/2015	4:58 PM	289.23	7.231	3.550	2.04	1.90	40.00	230	3.814	0.013
iisa D	iisa_D	Default	6/9/2015	4:59 PM	394.63	9.866	4.895	2.02	2.08	40.00	230	4.747	0.007
ruyv A	ruyv_A	Default	6/9/2015	5:00 PM	61.29	1.532	0.750	2.04	1.67	40.00	230	0.917	0.008
ruyv B	ruyv_B	Default	6/9/2015	5:01 PM	43.22	1.081	0.538	2.01	1.50	40.00	230	0.720	0.012
ruyv D	ruyv_D	Default	6/9/2015	5:02 PM	30.61	0.765	0.350	2.19	1.05	40.00	230	0.730	0.072
eojr A	eojr_A	Default	6/9/2015	5:03 PM	108.48	2.712	1.311	2.07	1.46	40.00	230	1.860	0.016
