sample_id	lanelet_id	sequencescape_id	sanger_id
bima_A_ATAC	15444_5#14	2215132	bima_A_ATAC
bima_B_ATAC	15444_5#13	2215133	bima_B_ATAC
bima_C_ATAC	15444_5#16	2215134	bima_C_ATAC
bima_D_ATAC	15444_5#15	2215135	bima_D_ATAC
eofe_A_ATAC	15444_5#18	2215136	eofe_A_ATAC
eofe_B_ATAC	15444_5#17	2215137	eofe_B_ATAC
eofe_C_ATAC	15444_5#26	2215138	eofe_C_ATAC
eofe_D_ATAC	15444_5#25	2215139	eofe_D_ATAC
eika_B_ATAC	16667_4#13	2310277	3226STDY6119499
eika_A_ATAC	16667_4#25	2310278	3226STDY6119500
ieki_B_ATAC	16667_4#14	2310279	3226STDY6119501
ieki_A_ATAC	16667_4#26	2310280	3226STDY6119502
nusw_B_ATAC	16667_4#15	2310281	3226STDY6119503
nusw_A_ATAC	16667_4#27	2310282	3226STDY6119504
ruyv_B_ATAC	16667_4#16	2310283	3226STDY6119505
ruyv_A_ATAC	16667_4#28	2310284	3226STDY6119506
uimo_B_ATAC	16667_4#17	2310285	3226STDY6119507
uimo_A_ATAC	16667_4#29	2310286	3226STDY6119508
cicb_B_ATAC	16667_4#1	2310287	3226STDY6119509
cicb_A_ATAC	16667_4#2	2310288	3226STDY6119510
cicb_D_ATAC	16667_4#3	2310289	3226STDY6119511
cicb_C_ATAC	16667_4#4	2310290	3226STDY6119512
vass_B_ATAC	16667_4#37	2310291	3226STDY6119513
vass_A_ATAC	16667_4#38	2310292	3226STDY6119514
vass_D_ATAC	16667_4#39	2310293	3226STDY6119515
vass_C_ATAC	16667_4#40	2310294	3226STDY6119516
oefg_B_ATAC	16668_8#1	2310295	3226STDY6119517
oefg_A_ATAC	16668_8#2	2310296	3226STDY6119518
veqz_B_ATAC	16668_8#3	2310297	3226STDY6119519
veqz_A_ATAC	16668_8#4	2310298	3226STDY6119520
pahc_B_ATAC	16668_8#37	2310299	3226STDY6119521
pahc_A_ATAC	16668_8#38	2310300	3226STDY6119522
sukz_B_ATAC	16668_8#39	2310301	3226STDY6119523
sukz_A_ATAC	16668_8#40	2310302	3226STDY6119524
xucm_B_ATAC	16668_8#13	2310303	3226STDY6119525
xucm_A_ATAC	16668_8#14	2310304	3226STDY6119526
joxm_B_ATAC	16668_8#15	2310305	3226STDY6119527
joxm_A_ATAC	16668_8#16	2310306	3226STDY6119528
iisa_A_ATAC	16668_8#25	2310307	3226STDY6119529
iisa_B_ATAC	16668_8#26	2310308	3226STDY6119530
eojr_B_ATAC	16668_8#27	2310309	3226STDY6119531
eojr_A_ATAC	16668_8#28	2310310	3226STDY6119532
hiaf_B_ATAC	17675_5#1	2390572	3226STDY6190062
hiaf_A_ATAC	17675_5#2	2390573	3226STDY6190063
hiaf_D_ATAC	17675_5#3	2390574	3226STDY6190064
hiaf_C_ATAC	17675_5#4	2390575	3226STDY6190065
kuxp_B_ATAC	17675_5#5	2390576	3226STDY6190066
kuxp_A_ATAC	17675_5#6	2390577	3226STDY6190067
kuxp_D_ATAC	17675_5#7	2390578	3226STDY6190068
kuxp_C_ATAC	17675_5#8	2390579	3226STDY6190069
podx_B_ATAC	17675_5#9	2390580	3226STDY6190070
podx_A_ATAC	17675_5#10	2390581	3226STDY6190071
podx_D_ATAC	17675_5#11	2390582	3226STDY6190072
podx_C_ATAC	17675_5#12	2390583	3226STDY6190073
xugn_B_ATAC	17675_5#13	2390584	3226STDY6190074
xugn_A_ATAC	17675_5#14	2390585	3226STDY6190075
xugn_D_ATAC	17675_5#15	2390586	3226STDY6190076
xugn_C_ATAC	17675_5#16	2390587	3226STDY6190077
oapg_B_ATAC	17675_5#17	2390588	3226STDY6190078
oapg_A_ATAC	17675_5#18	2390589	3226STDY6190079
oapg_D_ATAC	17675_5#19	2390590	3226STDY6190080
oapg_C_ATAC	17675_5#20	2390591	3226STDY6190081
pamv_B_ATAC	17675_5#21	2390592	3226STDY6190082
pamv_A_ATAC	17675_5#22	2390593	3226STDY6190083
pamv_D_ATAC	17675_5#23	2390594	3226STDY6190084
pamv_C_ATAC	17675_5#24	2390595	3226STDY6190085
eipl_B_ATAC	17675_5#25	2390596	3226STDY6190086
eipl_A_ATAC	17675_5#26	2390597	3226STDY6190087
eipl_D_ATAC	17675_5#27	2390598	3226STDY6190088
eipl_C_ATAC	17675_5#28	2390599	3226STDY6190089
febc_B_ATAC	17675_5#29	2390600	3226STDY6190090
febc_A_ATAC	17675_5#30	2390601	3226STDY6190091
febc_D_ATAC	17675_5#31	2390602	3226STDY6190092
febc_C_ATAC	17675_5#32	2390603	3226STDY6190093
heja_B_ATAC	17675_5#33	2390604	3226STDY6190094
heja_A_ATAC	17675_5#34	2390605	3226STDY6190095
heja_D_ATAC	17675_5#35	2390606	3226STDY6190096
heja_C_ATAC	17675_5#36	2390607	3226STDY6190097
pelm_B_ATAC	17675_5#37	2390608	3226STDY6190098
pelm_A_ATAC	17675_5#38	2390609	3226STDY6190099
pelm_D_ATAC	17675_5#39	2390610	3226STDY6190100
pelm_C_ATAC	17675_5#40	2390611	3226STDY6190101
babk_A_ATAC	18913_1#11	2484203	3226STDY6277619
babk_B_ATAC	18913_1#2	2484202	3226STDY6277618
babk_C_ATAC	18913_1#29	2484205	3226STDY6277621
babk_D_ATAC	18913_1#20	2484204	3226STDY6277620
coyi_A_ATAC	18913_1#15	2484163	3226STDY6277579
coyi_B_ATAC	18913_1#6	2484162	3226STDY6277578
coyi_C_ATAC	18913_1#33	2484165	3226STDY6277581
coyi_D_ATAC	18913_1#24	2484164	3226STDY6277580
diku_A_ATAC	18913_1#17	2484179	3226STDY6277595
diku_B_ATAC	18913_1#8	2484178	3226STDY6277594
diku_C_ATAC	18913_1#35	2484181	3226STDY6277597
diku_D_ATAC	18913_1#26	2484180	3226STDY6277596
eiwy_A_ATAC	18913_1#45	2484199	3226STDY6277615
eiwy_B_ATAC	18913_1#37	2484198	3226STDY6277614
eiwy_C_ATAC	18913_1#61	2484201	3226STDY6277617
eiwy_D_ATAC	18913_1#53	2484200	3226STDY6277616
fafq_A_ATAC	18913_1#13	2484147	3226STDY6277563
fafq_B_ATAC	18913_1#4	2484146	3226STDY6277562
fafq_C_ATAC	18913_1#31	2484149	3226STDY6277565
fafq_D_ATAC	18913_1#22	2484148	3226STDY6277564
fikt_A_ATAC	18913_1#49	2484167	3226STDY6277583
fikt_B_ATAC	18913_1#41	2484166	3226STDY6277582
hehd_C_ATAC	18913_1#65	2484169	3226STDY6277585
hehd_D_ATAC	18913_1#57	2484168	3226STDY6277584
guss_A_ATAC	18913_1#18	2484187	3226STDY6277603
guss_B_ATAC	18913_1#9	2484186	3226STDY6277602
guss_C_ATAC	18913_1#36	2484189	3226STDY6277605
guss_D_ATAC	18913_1#27	2484188	3226STDY6277604
hayt_A_ATAC	18913_1#12	2484139	3226STDY6277555
hayt_B_ATAC	18913_1#3	2484138	3226STDY6277554
hayt_C_ATAC	18913_1#30	2484141	3226STDY6277557
hayt_D_ATAC	18913_1#21	2484140	3226STDY6277556
hehd_A_ATAC	18913_1#16	2484171	3226STDY6277587
hehd_B_ATAC	18913_1#7	2484170	3226STDY6277586
fikt_C_ATAC	18913_1#34	2484173	3226STDY6277589
fikt_D_ATAC	18913_1#25	2484172	3226STDY6277588
iill_A_ATAC	18913_1#50	2484175	3226STDY6277591
iill_B_ATAC	18913_1#42	2484174	3226STDY6277590
iill_C_ATAC	18913_1#66	2484177	3226STDY6277593
iill_D_ATAC	18913_1#58	2484176	3226STDY6277592
nukw_A_ATAC	18913_1#14	2484155	3226STDY6277571
nukw_B_ATAC	18913_1#5	2484154	3226STDY6277570
nukw_C_ATAC	18913_1#32	2484157	3226STDY6277573
nukw_D_ATAC	18913_1#23	2484156	3226STDY6277572
oevr_A_ATAC	18913_1#46	2484143	3226STDY6277559
oevr_B_ATAC	18913_1#38	2484142	3226STDY6277558
oevr_C_ATAC	18913_1#62	2484145	3226STDY6277561
oevr_D_ATAC	18913_1#54	2484144	3226STDY6277560
qaqx_A_ATAC	18913_1#52	2484191	3226STDY6277607
qaqx_B_ATAC	18913_1#44	2484190	3226STDY6277606
qaqx_C_ATAC	18913_1#68	2484193	3226STDY6277609
qaqx_D_ATAC	18913_1#60	2484192	3226STDY6277608
qolg_A_ATAC	18913_1#51	2484183	3226STDY6277599
qolg_B_ATAC	18913_1#43	2484182	3226STDY6277598
qolg_C_ATAC	18913_1#67	2484185	3226STDY6277601
qolg_D_ATAC	18913_1#59	2484184	3226STDY6277600
sojd_A_ATAC	18913_1#47	2484151	3226STDY6277567
sojd_B_ATAC	18913_1#39	2484150	3226STDY6277566
