sample_id	short_fragment_count	long_fragment_count	length_ratio
qaqx_B_ATAC	28745525	3891848	7.38608625002826
qaqx_A_ATAC	25564031	3542978	7.21540777278323
ieki_A_ATAC	40132855	5764511	6.96205714587066
uaqe_A_ATAC	20795546	3117628	6.67031024868907
uaqe_B_ATAC	23329213	4075120	5.72479166257681
babk_C_ATAC	17107459	3126279	5.47214723957779
babk_A_ATAC	18792620	3570767	5.26290850117076
ieki_B_ATAC	33130806	6352382	5.21549333777471
hiaf_C_ATAC	31092019	6354303	4.89306521895478
sojd_C_ATAC	24315517	5280228	4.60501270020916
uaqe_D_ATAC	23695245	5151817	4.59939570834911
uaqe_C_ATAC	22914629	5512004	4.15722285397471
sojd_B_ATAC	23226766	5666167	4.09920251203327
babk_D_ATAC	20811713	5290250	3.93397533197864
diku_D_ATAC	28375708	7531548	3.76757978572267
hiaf_D_ATAC	28368479	7627908	3.71903790659248
zaui_D_ATAC	22758106	6318709	3.6017018666313
hehd_D_ATAC	16099618	4493539	3.58283704670194
nusw_A_ATAC	24569503	6940526	3.54000590157
xugn_D_ATAC	25555624	7327006	3.48786721342933
oapg_C_ATAC	27017332	7825496	3.45247534469381
pamv_D_ATAC	18292008	5417604	3.37640181895908
eojr_B_ATAC	31339514	9377597	3.34195572703753
joxm_B_ATAC	25329484	7826564	3.23634790439329
sojd_D_ATAC	20431447	6343908	3.22064049478649
sojd_A_ATAC	17436883	5675005	3.07257579508741
eipl_C_ATAC	25972619	8756096	2.96623278228105
bima_D_ATAC	25574159	8779103	2.9130719846891
joxm_A_ATAC	23737454	8151160	2.91215655195089
eojr_A_ATAC	29228282	10062236	2.90475019667597
uimo_A_ATAC	24912014	8820980	2.82417758571043
qaqx_D_ATAC	19797944	7104058	2.78684999474948
oevr_C_ATAC	24137872	8816200	2.73789977541344
zaui_C_ATAC	21489286	7957283	2.70058083896224
eofe_D_ATAC	28842393	10935197	2.63757415618575
bima_C_ATAC	31155947	12301930	2.53260642842221
coyi_D_ATAC	15473767	6114079	2.53084184878867
hayt_C_ATAC	24004908	9492853	2.52873482819127
podx_D_ATAC	21641367	8633492	2.50667597769246
xucm_A_ATAC	18947582	7772049	2.43791334820457
qaqx_C_ATAC	18467012	7637360	2.41798370117423
oevr_D_ATAC	18320463	7979991	2.29579995766913
iisa_B_ATAC	19605758	8614353	2.27594086288314
hehd_C_ATAC	11911236	5283970	2.2542209740025
hiaf_B_ATAC	16351515	7376664	2.2166544389171
bima_B_ATAC	25704234	11614679	2.21308173906485
febc_C_ATAC	20206542	9158934	2.2062111158351
eofe_C_ATAC	27258361	12413251	2.19590830798475
oapg_A_ATAC	20306342	9478625	2.14232992654525
babk_B_ATAC	16669320	7815693	2.13280127558746
bima_A_ATAC	19295138	9126407	2.11420967747768
ruyv_A_ATAC	25709223	12194540	2.10825689201889
eofe_A_ATAC	22190400	10538956	2.10555960191882
pelm_C_ATAC	19710367	9464985	2.08245094947324
guss_D_ATAC	21475432	10552931	2.03502060233313
heja_B_ATAC	19023397	9369223	2.03041351454651
oevr_B_ATAC	19982028	9888616	2.0207102793758
eika_A_ATAC	21981228	10909450	2.01487957688059
fafq_C_ATAC	23257986	11548389	2.01395934965474
pamv_C_ATAC	15489937	7695628	2.0128229950824
oevr_A_ATAC	17263053	8697417	1.98484826012137
uimo_B_ATAC	25863973	13047125	1.98235036454391
hayt_B_ATAC	17219305	8847894	1.94614729787676
podx_C_ATAC	21325516	10995405	1.93949345203746
pelm_B_ATAC	17226521	8901805	1.93517168709043
eipl_D_ATAC	21460114	11103976	1.93265133137896
hayt_D_ATAC	21335797	11058709	1.92932077333801
fafq_D_ATAC	7303825	3785883	1.92922628617947
fikt_B_ATAC	20589336	10703090	1.92368147890002
eipl_A_ATAC	12525956	6566023	1.90769298249488
eofe_B_ATAC	23830246	12496317	1.90698155304479
iill_D_ATAC	16574870	8730127	1.89858291866774
pamv_B_ATAC	16341527	8765814	1.86423382928271
coyi_C_ATAC	13807110	7463804	1.84987574700515
iill_C_ATAC	13737626	7462500	1.84088790619765
nukw_C_ATAC	17799105	9736696	1.8280436197248
qolg_C_ATAC	16413595	8998145	1.82410874685838
zaui_B_ATAC	15017351	8256910	1.81876161905604
oapg_D_ATAC	18479146	10184214	1.81448916921816
cicb_D_ATAC	21839898	12224901	1.78650919136278
hiaf_A_ATAC	14648991	8304054	1.76407703996145
eiwy_D_ATAC	15447584	8796358	1.75613407276057
xucm_B_ATAC	18966741	10820144	1.75291022004883
cicb_C_ATAC	22525787	12917980	1.74375459630685
eipl_B_ATAC	15526114	8915115	1.74154949207049
hayt_A_ATAC	16496262	9551563	1.72707461595552
diku_C_ATAC	22960763	13422319	1.71064053834513
pelm_D_ATAC	17627231	10323171	1.7075403478253
vass_D_ATAC	24113724	14265711	1.69032752731357
kuxp_D_ATAC	17876642	10589886	1.68808634956033
oefg_A_ATAC	14872769	8812878	1.68761771126299
fikt_D_ATAC	17582189	10436857	1.68462488275924
eiwy_C_ATAC	16066211	9538203	1.68440648621129
