line_id	donor	clone	replicate	ips_received	ips_started	passage_received	received_as	media	EB_formation	passage_diff	diff_start	salmonella_date	atac_date	flow_date	medium_changes	terminated	status	mean_purity	max_purity	genotype_id	open_access	sex	ips_culture_days	passage_diff_bins	lalistat_date	acLDL_date	rna_extraction	rna_submit	macrophage_diff_days	macrophage_diff_bins	max_purity_filtered	mean_purity_filtered	purity_bins	ng_ul_mean	ng_ul_ratio
auim_2	auim	2	1	2014-10-10	2014-10-10	36	alive	KSR	2014-10-13	37	2014-10-16	2014-11-20	NA	2014-11-21	9	2014-12-10	Success	0.992998125482413	0.999834601389348	HPSI0613i-auim_2	0	female	3	30	NA	2014-11-17	2014-11-20	2015-02-27	35	30	0.999834601389348	0.992998125482413	high	187.5	0.75891181988743
babk_2	babk	2	1	2014-10-10	2014-10-10	36	alive	E8	2014-10-25	38	2014-10-29	NA	NA	2014-12-16	9	2014-12-19	Success	0.968871595330739	0.972618532929817	HPSI1213i-babk_2	1	female	15	30	NA	2014-12-08	2014-12-12	2015-02-27	44	40	0.972618532929817	0.968871595330739	low	74.75	0.698863636363636
bezi_1	bezi	1	1	2015-01-14	2015-05-26	30	frozen	E8	2015-06-15	34	2015-06-18	NA	NA	2015-07-30	10	2015-08-12	Success	0.955234474017744	0.959239543726236	HPSI0114i-bezi_1	1	female	20	30	NA	2015-08-05	2015-08-24	2015-08-26	51	50	0.959239543726236	0.955234474017744	low	67.15	0.790666666666667
bima_1	bima	1	1	2014-10-24	2014-10-24	40	alive	E8	2014-11-04	42	2014-11-07	2014-12-12	2014-12-12	2014-12-16	6	2014-12-19	Success	0.985013884898975	0.988939959781672	HPSI1113i-bima_1	1	male	11	40	NA	2014-12-15	2015-01-21	2015-02-27	41	40	0.988939959781672	0.985013884898975	high	219.95	0.744250594766059
bubh_1	bubh	1	1	2015-01-14	2015-02-04	24	frozen	E8	2015-02-20	28	2015-02-23	2015-04-01	NA	2015-04-13	10	2015-04-10	Success	0.801584606677985	0.814091680814941	HPSI0314i-bubh_1	1	female	16	20	NA	2015-03-31	2015-04-15	2015-05-12	39	30	0.814091680814941	0.801584606677985	low	57.75	0.818897637795276
bulb_1	bulb	1	1	2014-10-24	2014-10-24	33	alive	E8	2014-11-07	35	2014-11-10	NA	NA	2014-12-16	7	2014-12-19	FC_QC_fail	0.903173121791881	0.910405972935138	HPSI0913i-bulb_1	0	female	14	30	NA	2014-12-15	2015-01-21	2015-02-27	38	30	0.910405972935138	0.903173121791881	low	97.35	1.04731861198738
cehw_3	cehw	3	1	2014-10-01	2014-10-01	33	alive	KSR	2014-10-07	34	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.96025135174631	0.965146865409908	HPSI0513i-cehw_3	0	female	6	30	NA	2014-11-17	2014-11-20	2015-02-27	41	40	0.965146865409908	0.96025135174631	low	254.75	0.777739009071877
cicb_3	cicb	3	1	2015-01-14	2015-03-09	39	frozen	E8	2015-03-27	43	2015-03-30	2015-04-24	2015-04-24	2015-04-23	6	2015-04-29	Success	0.970668732248903	0.984043377226956	HPSI0713i-cicb_3	0	male	18	40	NA	2015-04-28	2015-05-01	2015-06-16	32	30	0.984043377226956	0.970668732248903	high	270.25	0.95691527878349
coio_2	coio	2	1	2014-10-01	2014-10-01	38	alive	KSR	2014-10-07	39	2014-10-11	2014-11-20	NA	2014-11-18	9	2014-11-27	Success	0.974881433339189	0.993852099069032	HPSI0513i-coio_2	0	female	6	30	NA	2014-11-17	2014-11-20	2014-11-27	41	40	0.993852099069032	0.974881433339189	high	409.95	0.912080223880597
coyi_3	coyi	3	1	2015-09-02	2015-09-09	44	frozen	E8	2015-09-27	48	2015-09-30	2015-11-05	2015-11-05	2015-11-03	7	2015-11-06	Success	0.983437698520737	0.984481350394773	HPSI0913i-coyi_3	0	female	18	40	2015-11-11	2015-11-12	2015-12-10	2015-12-10	46	40	0.984481350394773	0.983437698520737	high	84.35	0.755463059313215
cups_3	cups	3	1	2015-01-14	2015-02-02	24	frozen	KSR	2015-02-24	28	2015-02-27	2015-04-08	NA	2015-04-13	7	2015-04-07	Success	0.977788800705467	0.978835978835979	HPSI1013i-cups_3	1	female	22	20	NA	2015-04-14	2015-04-15	2015-05-12	49	40	0.978835978835979	0.977788800705467	low	222.8	1.0117381489842
darw_2	darw	2	1	2014-09-17	2014-09-17	37	alive	KSR	2014-09-24	38	2014-09-28	2014-11-05	NA	2014-10-29	13	2014-11-25	Success	0.989460701872407	0.990918264379415	HPSI0713i-darw_2	0	female	7	30	NA	2014-11-17	2014-11-20	2015-02-27	54	50	0.990918264379415	0.989460701872407	high	186.4	0.760151085930123
