line_id	donor	clone	replicate	ips_received	ips_started	passage_received	received_as	media	EB_formation	passage_diff	diff_start	salmonella_date	atac_date	flow_date	medium_changes	terminated	status	mean_purity	max_purity	genotype_id	open_access	sex	ips_culture_days	passage_diff_bins	rna_concentration	ng_ul_mean	macrophage_harvest	rna_extraction	rna_submit	library_pool	chemistry	rna_auto	macrophage_diff_days	macrophage_diff_bins	harvest_stimulation_days	max_purity_filtered	mean_purity_filtered	purity_bins
peop_2	peop	2	1	2014-02-19	2014-02-19	23	alive	KSR	2014-02-27	25	2014-03-03	2014-06-03	NA	2014-05-20	20	2014-06-13	Success	0.971741221741222	0.974386724386724	HPSI0413i-peop_2	0	male	8	20	0-100	69.7375	2014-05-26	2014-06-06	2014-11-18	3226_RNA-1_191114	V4	FALSE	96	50	8	0.974386724386724	0.971741221741222	low
fpdl_1	fpdl	1	2	2014-03-12	2014-03-12	42	alive	KSR	2014-03-22	44	2014-03-25	2014-06-03	NA	2014-05-20	14	2014-06-13	Success	0.965837069098779	0.968464986860411	HPSI0813i-fpdl_1	0	female	10	40	200+	213.135	2014-05-26	2014-06-06	2014-07-13	3226_dUTP_160714_1	V3	FALSE	73	50	8	0.968464986860411	0.965837069098779	low
ougl_3	ougl	3	1	2014-03-12	2014-03-12	26	alive	KSR	2014-03-18	27	2014-03-21	2014-06-03	NA	2014-05-20	15	2014-06-13	Success	0.955649917433357	0.960368011323425	HPSI0413i-ougl_3	0	male	6	20	100-200	108.6075	2014-05-26	2014-06-09	2014-07-13	3226_dUTP_160714_1	V3	FALSE	77	50	8	0.960368011323425	0.955649917433357	low
iasn_3	iasn	3	1	2014-03-19	2014-03-19	30	alive	KSR	2014-03-24	31	2014-03-27	2014-06-03	NA	2014-05-20	14	2014-06-13	Success	0.984281842818428	0.985094850948509	HPSI0513i-iasn_3	0	female	5	30	100-200	136.7875	2014-05-26	2014-06-09	2014-11-18	3226_RNA-1_191114	V4	FALSE	71	50	8	0.985094850948509	0.984281842818428	high
aipt_2	aipt	2	1	2014-04-22	2014-04-22	27	alive	KSR	2014-04-26	28	2014-04-30	2014-06-14	NA	2014-06-16	11	2014-07-08	Success	0.989960177239329	0.995288574793875	HPSI0513i-aipt_2	0	male	4	20	200+	271.84	2014-06-08	2014-06-24	2014-11-18	3226_RNA-1_191114	V4	FALSE	49	40	6	0.995288574793875	0.989960177239329	high
liun_2	liun	2	1	2014-04-22	2014-04-22	25	alive	KSR	2014-04-26	26	2014-04-30	2014-06-14	NA	2014-06-20	12	2014-07-08	Success	0.982464888224051	0.989528795811518	HPSI0613i-liun_2	0	male	4	20	200+	209.575	2014-06-08	2014-06-24	2014-07-13	3226_dUTP_160714_1	V3	FALSE	49	40	6	0.989528795811518	0.982464888224051	high
oomz_2	oomz	2	1	2014-05-06	2014-05-06	27	alive	KSR	2014-05-10	28	2014-05-14	2014-06-14	NA	2014-06-16	6	2014-06-26	Success	0.99083215796897	0.994123178185237	HPSI0613i-oomz_2	0	female	4	20	100-200	187.455	2014-06-08	2014-07-09	2014-07-13	3226_dUTP_160714_1	V3	FALSE	35	30	6	0.994123178185237	0.99083215796897	high
qanu_2	qanu	2	1	2014-05-06	2014-05-06	28	alive	KSR	2014-05-10	29	2014-05-14	2014-06-14	NA	2014-06-20	6	2014-06-26	Success	0.977525314892566	0.991108915781674	HPSI0613i-qanu_2	0	female	4	20	0-100	70.9	2014-06-08	2014-07-09	2014-11-18	3226_RNA-1_191114	V4	FALSE	35	30	6	0.991108915781674	0.977525314892566	high
hikj_1	hikj	1	1	2014-05-12	2014-05-12	28	alive	KSR	2014-05-17	29	2014-05-21	2014-07-15	NA	2014-07-01	8	2014-07-16	Success	0.994329257487152	0.999822789296474	HPSI0613i-hikj_1	0	male	5	20	100-200	163.555	2014-07-09	2014-07-15	2014-11-18	3226_RNA-1_191114	V4	FALSE	59	50	6	0.999822789296474	0.994329257487152	high
qimz_1	qimz	1	1	2014-05-12	2014-05-12	26	alive	KSR	2014-05-17	27	2014-05-21	2014-07-15	NA	2014-07-01	8	2014-07-16	Success	0.985408805031447	0.986666666666667	HPSI0713i-qimz_1	0	female	5	20	200+	307.4575	2014-07-09	2014-07-15	2014-11-18	3226_RNA-2_191114	V4	FALSE	59	50	6	0.986666666666667	0.985408805031447	high
