line_id	diff_attempt_count	diff_fail_count	assay_success_count	flow_success_count
fpdj_3	3	0	2	3
babk_2	2	0	2	2
bulb_1	2	1	1	1
focm_1	2	2	0	0
fpdl_1	2	0	2	2
iakz_1	2	2	0	0
koun_2	2	2	0	0
leeh_3	2	2	0	0
oarz_2	2	0	1	1
ougl_3	2	0	2	2
piun_3	2	0	2	2
uoxz_5	2	2	0	0
vopm_2	2	2	0	0
xegx_2	2	2	0	0
aipt_2	1	0	1	1
airc_2	1	1	0	0
auim_2	1	0	1	1
bezi_1	1	0	1	1
bima_1	1	0	1	1
bipt_1	1	1	0	0
bubh_1	1	0	1	1
cehw_3	1	0	1	1
cicb_3	1	0	1	1
coio_2	1	0	1	1
coxy_3	1	0	1	1
coyi_3	1	0	1	1
cuau_2	1	0	1	1
cuhk_2	1	1	0	0
cups_3	1	0	1	1
dard_2	1	0	0	0
darw_2	1	0	1	1
debk_7	1	0	1	1
diku_1	1	0	1	1
dons_1	1	1	0	0
eika_2	1	0	1	1
eipl_1	1	0	1	1
eiwy_1	1	0	1	1
eofe_1	1	0	1	1
eojr_3	1	0	1	1
euir_2	1	0	1	1
fafq_1	1	0	1	1
febc_2	1	0	1	1
ffdk_1	1	0	0	1
ffdm_3	1	0	1	1
fikt_3	1	0	1	1
foop_1	1	1	0	0
funp_3	1	0	1	1
gedo_3	1	0	0	1
giuo_4	1	0	1	1
golb_1	1	0	1	1
gomv_3	1	0	1	1
guss_1	1	0	1	1
hayt_1	1	0	1	1
hehd_2	1	0	1	1
heja_1	1	0	1	1
hiaf_2	1	0	1	1
hikj_1	1	0	1	1
huls_1	1	0	1	1
iasn_3	1	0	1	1
ieki_2	1	0	1	1
iicq_1	1	0	1	1
iill_1	1	0	1	1
iisa_3	1	0	1	1
jorr_1	1	0	1	0
joxm_1	1	0	1	1
kaks_3	1	0	1	1
kehc_2	1	0	0	1
kolf_3	1	0	1	0
kucg_2	1	0	0	1
kuxp_1	1	0	1	1
lexy_1	1	0	0	1
liun_2	1	0	1	1
meqo_3	1	0	1	1
nekd_1	1	1	0	0
nemb_1	1	0	1	1
nibo_2	1	0	1	1
nukw_1	1	0	1	1
nusw_2	1	0	1	0
oapg_5	1	0	1	1
oefg_2	1	0	1	1
oeoo_2	1	0	1	1
oevr_3	1	0	1	1
oomz_2	1	0	1	1
pahc_4	1	0	1	1
pamv_3	1	0	1	1
pelm_3	1	0	1	1
peop_2	1	0	1	1
podx_1	1	0	1	1
qanu_2	1	0	1	1
qaqx_1	1	0	1	1
qimz_1	1	0	1	1
qolg_3	1	0	1	1
qonc_2	1	1	0	0
qony_1	1	1	0	0
qorq_1	1	1	0	0
riiv_1	1	0	1	1
robp_3	1	1	0	0
rozh_5	1	0	0	1
ruql_3	1	1	0	0
ruyv_1	1	0	1	1
sebz_1	1	1	0	1
sojd_3	1	0	1	1
sukz_1	1	0	1	1
suzg_3	1	1	0	0
uahf_3	1	0	1	1
uaqe_1	1	0	1	0
uimo_1	1	0	1	1
uofv_1	1	1	0	0
vabj_3	1	0	0	1
vass_1	1	0	1	1
veqz_6	1	0	1	1
voas_2	1	0	1	1
vorx_1	1	0	1	1
wibj_2	1	0	1	1
xavk_3	1	0	0	1
xekf_1	1	1	0	0
xucm_3	1	0	1	1
xugn_1	1	0	1	1
yemz_1	1	0	1	1
yuze_1	1	0	1	1
zaui_3	1	0	1	1
zisa_3	1	0	1	1
zuta_1	1	0	1	1
