sample_id	lanelet_id	sequencescape_id	sanger_id
aipt_A	15367_2#21	2025998	aipt_A
aipt_B	15367_2#22	2025999	aipt_B
aipt_C	15367_2#23	2026000	aipt_C
aipt_D	15367_2#24	2026001	aipt_D
cehw_A	15326_1#17	2192894	cehw_A
cehw_B	15326_1#18	2192895	cehw_B
cehw_C	15326_1#19	2192896	cehw_C
cehw_D	15326_1#20	2192897	cehw_D
coio_A	15326_5#5	2192906	coio_A
coio_B	15326_5#6	2192907	coio_B
coio_D	15326_5#7	2192908	coio_C
coio_C	15326_5#8	2192909	coio_D
coxy_A	15223_4#13	2176570	coxy_A
coxy_B	15223_4#14	2176571	coxy_B
coxy_C	15223_4#15	2176572	coxy_C
coxy_D	15223_4#16	2176573	coxy_D
cuau_A	15326_1#21	2192898	cuau_A
cuau_B	15326_1#22	2192899	cuau_B
cuau_C	15326_1#23	2192900	cuau_C
cuau_D	15326_1#24	2192901	cuau_D
darw_A	15326_1#9	2192886	darw_A
darw_B	15326_1#10	2192887	darw_B
darw_C	15326_1#11	2192888	darw_C
darw_D	15326_1#12	2192889	darw_D
debk_A	15326_5#13	2192914	debk_A
debk_B	15326_5#14	2192915	debk_B
debk_C	15326_5#15	2192916	debk_C
debk_D	15326_5#16	2192917	debk_D
ffdm_A	15326_1#1	2192878	ffdm_A
ffdm_B	15326_1#2	2192879	ffdm_B
ffdm_C	15326_1#3	2192880	ffdm_C
ffdm_D	15326_1#4	2192881	ffdm_D
fpdl_A_2	13927_1#9	2025994	ffdp_A
fpdl_B_2	13927_1#10	2025995	ffdp_B
fpdl_C_2	13927_1#11	2025996	ffdp_C
fpdl_D_2	13927_1#12	2025997	ffdp_D
fpdj_A	15223_4#17	2176574	fpdj_A
fpdj_A_2	15326_5#21	2192922	fpdj_A_2
fpdj_B	15223_4#18	2176575	fpdj_B
fpdj_B_2	15326_5#22	2192923	fpdj_B_2
fpdj_C	15223_4#19	2176576	fpdj_C
fpdj_C_2	15326_5#23	2192924	fpdj_C_2
fpdj_D	15223_4#20	2176577	fpdj_D
