AUIM_24h_AcLDL	15798_3#4;15798_4#4;15798_5#4
AUIM_24h_Ctrl	15798_3#3;15798_4#3;15798_5#3
BABK_24h_AcLDL	15798_6#6;15798_7#6;15798_8#6
BABK_24h_Ctrl	15798_6#5;15798_7#5;15798_8#5
BIMA_24h_AcLDL	15798_6#12;15798_7#12;15798_8#12
BIMA_24h_Ctrl	15798_6#11;15798_7#11;15798_8#11
BULB_24h_AcLDL	15798_6#14;15798_7#14;15798_8#14
BULB_24h_Ctrl	15798_6#13;15798_7#13;15798_8#13
CEHW_24h_AcLDL	15798_3#12;15798_4#12;15798_5#12
CEHW_24h_Ctrl	15798_3#11;15798_4#11;15798_5#11
COIO_24h_AcLDL	15367_5#18
COIO_24h_Ctrl	15367_5#17
DARW_24h_AcLDL	15798_3#10;15798_4#10;15798_5#10
DARW_24h_Ctrl	15798_3#9;15798_4#9;15798_5#9
DEBK_24h_AcLDL	15798_3#14;15798_4#14;15798_5#14
DEBK_24h_Ctrl	15798_3#13;15798_4#13;15798_5#13
EOFE_24h_AcLDL	15798_6#8;15798_7#8;15798_8#8
EOFE_24h_Ctrl	15798_6#7;15798_7#7;15798_8#7
EUIR_24h_AcLDL	15798_6#10;15798_7#10;15798_8#10
EUIR_24h_Ctrl	15798_6#9;15798_7#9;15798_8#9
GIUO_24h_AcLDL	15367_5#14
GIUO_24h_Ctrl	15367_5#13
GOMV_24h_AcLDL	15798_3#6;15798_4#6;15798_5#6
GOMV_24h_Ctrl	15798_3#5;15798_4#5;15798_5#5
JORR_24h_AcLDL	15798_6#16;15798_7#16;15798_8#16
JORR_24h_Ctrl	15798_6#15;15798_7#15;15798_8#15
KAKS_24h_AcLDL	15798_3#8;15798_4#8;15798_5#8
KAKS_24h_Ctrl	15798_3#7;15798_4#7;15798_5#7
MEQO_24h_AcLDL	15798_6#2;15798_7#2;15798_8#2
MEQO_24h_Ctrl	15798_6#1;15798_7#1;15798_8#1
OARZ_24h_AcLDL	15367_5#16
OARZ_24h_Ctrl	15367_5#15
RIIV_24h_AcLDL	15798_3#16;15798_4#16;15798_5#16
RIIV_24h_Ctrl	15798_3#15;15798_4#15;15798_5#15
VOAS_24h_AcLDL	15798_3#18;15798_4#18;15798_5#18
VOAS_24h_Ctrl	15798_3#17;15798_4#17;15798_5#17
VORX_24h_AcLDL	15798_6#4;15798_7#4;15798_8#4
VORX_24h_Ctrl	15798_6#3;15798_7#3;15798_8#3
XEGX_24h_AcLDL	15798_6#18;15798_7#18;15798_8#18
XEGX_24h_Ctrl	15798_6#17;15798_7#17;15798_8#17
ZUTA_24h_AcLDL	15798_3#2;15798_5#2;15798_4#2
ZUTA_24h_Ctrl	15798_3#1;15798_4#1;15798_5#1
