BUBH_24h_AcLDL	16437_5#2;16493_2#2;16493_3#2
BUBH_24h_Ctrl	16437_5#1;16493_2#1;16493_3#1
CUPS_24h_AcLDL	16437_5#4;16493_2#4;16493_3#4
CUPS_24h_Ctrl	16493_3#3;16437_5#3;16493_2#3
OUGL_24h_AcLDL	16437_5#6;16493_2#6;16493_3#6
OUGL_24h_Ctrl	16437_5#5;16493_2#5;16493_3#5
EIKA_24h_AcLDL	16437_5#18;16493_2#18;16493_3#18
EIKA_24h_Ctrl	16437_5#17;16493_2#17;16493_3#17
IICQ_24h_AcLDL	16437_5#8;16493_2#8;16493_3#8
IICQ_24h_Ctrl	16437_5#7;16493_2#7;16493_3#7
NIBO_24h_AcLDL	16437_5#10;16493_2#10;16493_3#10
NIBO_24h_Ctrl	16437_5#9;16493_2#9;16493_3#9
NUSW_24h_AcLDL	16437_5#16;16493_2#16;16493_3#16
NUSW_24h_Ctrl	16437_5#15;16493_2#15;16493_3#15
PIUN_24h_AcLDL	16437_5#12;16493_2#12;16493_3#12
PIUN_24h_Ctrl	16437_5#11;16493_2#11;16493_3#11
UIMO_24h_AcLDL	16437_5#14;16493_2#14;16493_3#14
UIMO_24h_Ctrl	16437_5#13;16493_2#13;16493_3#13
