BEZI_24h_AcLDL	18017_1#2;18079_1#2;18079_2#2;18079_3#2
BEZI_24h_Ctrl	18079_1#1;18017_1#1;18079_2#1;18079_3#1
EIPL_24h_AcLDL	18017_1#4;18079_1#4;18079_2#4;18079_3#4
EIPL_24h_Ctrl	18017_1#3;18079_1#3;18079_2#3;18079_3#3
FEBC_24h_AcLDL	18017_1#6;18079_1#6;18079_2#6;18079_3#6
FEBC_24h_Ctrl	18017_1#5;18079_1#5;18079_2#5;18079_3#5
HEJA_24h_AcLDL	18017_1#8;18079_1#8;18079_2#8;18079_3#8
HEJA_24h_Ctrl	18017_1#7;18079_1#7;18079_2#7;18079_3#7
HIAF_24h_AcLDL	18017_1#20;18079_1#20;18079_2#20;18079_3#20
HIAF_24h_Ctrl	18017_1#19;18079_1#19;18079_2#19;18079_3#19
KUXP_24h_AcLDL	18017_1#22;18079_1#22;18079_2#22;18079_3#22
KUXP_24h_Ctrl	18017_1#21;18079_1#21;18079_2#21;18079_3#21
NEMB_24h_AcLDL	18017_1#14;18079_1#14;18079_2#14;18079_3#14
NEMB_24h_Ctrl	18017_1#13;18079_1#13;18079_2#13;18079_3#13
OAPG_24h_AcLDL	18017_1#16;18079_1#16;18079_2#16;18079_3#16
OAPG_24h_Ctrl	18017_1#15;18079_1#15;18079_2#15;18079_3#15
PAMV_24h_AcLDL	18017_1#18;18079_1#18;18079_2#18;18079_3#18
PAMV_24h_Ctrl	18017_1#17;18079_3#17;18079_1#17;18079_2#17
PELM_24h_AcLDL	18017_1#10;18079_2#10;18079_3#10;18079_1#10
PELM_24h_Ctrl	18017_1#9;18079_1#9;18079_2#9;18079_3#9
PODX_24h_AcLDL	18017_1#12;18079_1#12;18079_2#12;18079_3#12
PODX_24h_Ctrl	18017_1#11;18079_1#11;18079_2#11;18079_3#11
XUGN_24h_AcLDL	18017_1#24;18079_1#24;18079_2#24;18079_3#24
XUGN_24h_Ctrl	18017_1#23;18079_1#23;18079_2#23;18079_3#23
