line_id	condition_name	ng_ul	ratio_260_280	ratio_260_230
auim_2	Ctrl	213.2	2.00	1.41
auim_2	AcLDL	161.8	2.01	2.05
babk_2	Ctrl	88.0	2.07	1.82
babk_2	AcLDL	61.5	2.08	1.60
bima_1	Ctrl	252.2	2.07	2.01
bima_1	AcLDL	187.7	2.08	0.88
bulb_1	Ctrl	95.1	2.11	1.90
bulb_1	AcLDL	99.6	2.14	0.56
cehw_3	Ctrl	286.6	2.02	1.91
cehw_3	AcLDL	222.9	2.01	2.11
coio_2	Ctrl	428.8	2.01	2.00
coio_2	AcLDL	391.1	2.01	2.13
darw_2	Ctrl	211.8	2.00	2.11
darw_2	AcLDL	161.0	2.01	1.55
debk_7	Ctrl	32.8	2.11	1.42
debk_7	AcLDL	56.6	2.02	1.46
eofe_1	Ctrl	178.1	2.05	2.12
eofe_1	AcLDL	144.6	2.08	1.41
euir_2	Ctrl	147.8	2.06	2.01
euir_2	AcLDL	118.5	2.02	1.65
giuo_4	Ctrl	376.1	2.04	2.13
giuo_4	AcLDL	359.4	2.03	2.13
gomv_3	Ctrl	274.0	2.01	1.39
gomv_3	AcLDL	288.0	2.02	2.01
jorr_1	Ctrl	159.2	2.07	2.00
jorr_1	AcLDL	200.5	2.05	2.02
kaks_3	Ctrl	280.3	2.02	1.34
kaks_3	AcLDL	266.3	2.02	1.93
meqo_3	Ctrl	106.4	2.05	1.99
meqo_3	AcLDL	45.1	2.10	0.55
oarz_2	Ctrl	391.5	2.03	1.93
oarz_2	AcLDL	328.2	2.04	1.98
riiv_1	Ctrl	98.3	2.03	1.93
riiv_1	AcLDL	89.4	2.03	1.73
voas_2	Ctrl	135.9	2.05	2.08
voas_2	AcLDL	121.6	2.05	2.10
zuta_1	Ctrl	140.3	2.10	1.38
zuta_1	AcLDL	129.0	2.05	1.99
xegx_2	Ctrl	104.5	2.10	0.90
xegx_2	AcLDL	143.9	2.08	1.07
vorx_1	Ctrl	250.7	2.06	1.62
vorx_1	AcLDL	158.8	2.06	2.03
bubh_1	Ctrl	63.5	1.97	2.18
bubh_1	AcLDL	52.0	2.00	2.33
