sample_id	lanelet_id	sequencescape_id	sanger_id
AUIM_24h_AcLDL	15798_3#4	2232830	AUIM_24h_AcLDL
AUIM_24h_Ctrl	15798_3#3	2232829	AUIM_24h_Ctrl
BABK_24h_AcLDL	15798_6#6	2232850	BABK_24h_AcLDL
BABK_24h_Ctrl	15798_6#5	2232849	BABK_24h_Ctrl
BIMA_24h_AcLDL	15798_6#12	2232856	BIMA_24h_AcLDL
BIMA_24h_Ctrl	15798_6#11	2232855	BIMA_24h_Ctrl
BULB_24h_AcLDL	15798_6#14	2232858	BULB_24h_AcLDL
BULB_24h_Ctrl	15798_6#13	2232857	BULB_24h_Ctrl
CEHW_24h_AcLDL	15798_3#12	2232838	CEHW_24h_AcLDL
CEHW_24h_Ctrl	15798_3#11	2232837	CEHW_24h_Ctrl
COIO_24h_AcLDL	15367_5#18	2181737	COIO_24h_AcLDL
COIO_24h_Ctrl	15367_5#17	2181736	COIO_24h_Ctrl
DARW_24h_AcLDL	15798_3#10	2232836	DARW_24h_AcLDL
DARW_24h_Ctrl	15798_3#9	2232835	DARW_24h_Ctrl
DEBK_24h_AcLDL	15798_3#14	2232840	DEBK_24h_AcLDL
DEBK_24h_Ctrl	15798_3#13	2232839	DEBK_24h_Ctrl
EOFE_24h_AcLDL	15798_6#8	2232852	EOFE_24h_AcLDL
EOFE_24h_Ctrl	15798_6#7	2232851	EOFE_24h_Ctrl
EUIR_24h_AcLDL	15798_6#10	2232854	EUIR_24h_AcLDL
EUIR_24h_Ctrl	15798_6#9	2232853	EUIR_24h_Ctrl
GIUO_24h_AcLDL	15367_5#14	2181733	GIUO_24h_AcLDL
GIUO_24h_Ctrl	15367_5#13	2181732	GIUO_24h_Ctrl
GOMV_24h_AcLDL	15798_3#6	2232832	GOMV_24h_AcLDL
GOMV_24h_Ctrl	15798_3#5	2232831	GOMV_24h_Ctrl
JORR_24h_AcLDL	15798_6#16	2232860	JORR_24h_AcLDL
JORR_24h_Ctrl	15798_6#15	2232859	JORR_24h_Ctrl
KAKS_24h_AcLDL	15798_3#8	2232834	KAKS_24h_AcLDL
KAKS_24h_Ctrl	15798_3#7	2232833	KAKS_24h_Ctrl
MEQO_24h_AcLDL	15798_6#2	2232846	MEQO_24h_AcLDL
MEQO_24h_Ctrl	15798_6#1	2232845	MEQO_24h_Ctrl
OARZ_24h_AcLDL	15367_5#16	2181735	OARZ_24h_AcLDL
OARZ_24h_Ctrl	15367_5#15	2181734	OARZ_24h_Ctrl
RIIV_24h_AcLDL	15798_3#16	2232842	RIIV_24h_AcLDL
RIIV_24h_Ctrl	15798_3#15	2232841	RIIV_24h_Ctrl
VOAS_24h_AcLDL	15798_3#18	2232844	VOAS_24h_AcLDL
VOAS_24h_Ctrl	15798_3#17	2232843	VOAS_24h_Ctrl
ZUTA_24h_AcLDL	15798_6#4	2232848	VORX_24h_AcLDL
ZUTA_24h_Ctrl	15798_6#3	2232847	VORX_24h_Ctrl
XEGX_24h_AcLDL	15798_6#18	2232862	XEGX_24h_AcLDL
XEGX_24h_Ctrl	15798_6#17	2232861	XEGX_24h_Ctrl
VORX_24h_AcLDL	15798_3#2	2232828	ZUTA_24h_AcLDL
VORX_24h_Ctrl	15798_3#1	2232827	ZUTA_24h_Ctrl
BUBH_24h_AcLDL	16437_5#2	2288275	IPSC-M-CV6101099
BUBH_24h_Ctrl	16437_5#1	2288274	IPSC-M-CV6101098
CUPS_24h_AcLDL	16437_5#4	2288277	IPSC-M-CV6101101
CUPS_24h_Ctrl	16493_3#3	2288276	IPSC-M-CV6101100
OUGL_24h_AcLDL	16437_5#6	2288279	IPSC-M-CV6101103
OUGL_24h_Ctrl	16437_5#5	2288278	IPSC-M-CV6101102
EIKA_24h_AcLDL	16437_5#18	2288291	IPSC-M-CV6101115
EIKA_24h_Ctrl	16437_5#17	2288290	IPSC-M-CV6101114
IICQ_24h_AcLDL	16437_5#8	2288281	IPSC-M-CV6101105
IICQ_24h_Ctrl	16437_5#7	2288280	IPSC-M-CV6101104
NIBO_24h_AcLDL	16437_5#10	2288283	IPSC-M-CV6101107
NIBO_24h_Ctrl	16437_5#9	2288282	IPSC-M-CV6101106
NUSW_24h_AcLDL	16437_5#16	2288289	IPSC-M-CV6101113
NUSW_24h_Ctrl	16437_5#15	2288288	IPSC-M-CV6101112
PIUN_24h_AcLDL	16437_5#12	2288285	IPSC-M-CV6101109
PIUN_24h_Ctrl	16437_5#11	2288284	IPSC-M-CV6101108
UIMO_24h_AcLDL	16437_5#14	2288287	IPSC-M-CV6101111
UIMO_24h_Ctrl	16437_5#13	2288286	IPSC-M-CV6101110
UAHF_24h_Ctrl	16823_1#1	2309473	IPSC-M-CV6118827
UAHF_24h_AcLDL	16823_1#2	2309474	IPSC-M-CV6118828
IEKI_24h_Ctrl	16823_1#3	2309475	IPSC-M-CV6118829
IEKI_24h_AcLDL	16823_1#4	2309476	IPSC-M-CV6118830
CICB_24h_Ctrl	16823_1#5	2309477	IPSC-M-CV6118831
CICB_24h_AcLDL	16823_1#6	2309478	IPSC-M-CV6118832
OEFG_24h_Ctrl	16823_1#7	2309479	IPSC-M-CV6118833
OEFG_24h_AcLDL	16823_1#8	2309480	IPSC-M-CV6118834
RUYV_24h_Ctrl	16823_1#9	2309481	IPSC-M-CV6118835
RUYV_24h_AcLDL	16823_1#10	2309482	IPSC-M-CV6118836
VASS_24h_Ctrl	16823_1#11	2309483	IPSC-M-CV6118837
VASS_24h_AcLDL	16823_1#12	2309484	IPSC-M-CV6118838
YEMZ_24h_Ctrl	16823_1#13	2309485	IPSC-M-CV6118839
YEMZ_24h_AcLDL	16823_1#14	2309486	IPSC-M-CV6118840
EOJR_24h_Ctrl	16823_1#15	2309487	IPSC-M-CV6118841
EOJR_24h_AcLDL	16823_1#16	2309488	IPSC-M-CV6118842
IISA_24h_Ctrl	16823_1#17	2309489	IPSC-M-CV6118843
IISA_24h_AcLDL	16823_1#18	2309490	IPSC-M-CV6118844
JOXM_24h_Ctrl	16823_2#1	2309491	IPSC-M-CV6118845
JOXM_24h_AcLDL	16823_2#2	2309492	IPSC-M-CV6118846
PAHC_24h_Ctrl	16823_2#3	2309493	IPSC-M-CV6118847
