sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	acLDL_date	accession	full_name
AUIM_24h_AcLDL	15798_3#4	2232830	AUIM_24h_AcLDL	2014-10-16	2014-11-17	SAMEA103885008	HPSI0613i-auim_2 derived macrophage day 32 with LDL
AUIM_24h_Ctrl	15798_3#3	2232829	AUIM_24h_Ctrl	2014-10-16	2014-11-17	SAMEA103884909	HPSI0613i-auim_2 derived macrophage day 32 untreated
BABK_24h_AcLDL	15798_6#6	2232850	BABK_24h_AcLDL	2014-10-29	2014-12-08	SAMEA103884945	HPSI1213i-babk_2 derived macrophage replicate 2 day 40 with LDL
BABK_24h_Ctrl	15798_6#5	2232849	BABK_24h_Ctrl	2014-10-29	2014-12-08	SAMEA103885213	HPSI1213i-babk_2 derived macrophage replicate 2 day 40 untreated
BIMA_24h_AcLDL	15798_6#12	2232856	BIMA_24h_AcLDL	2014-11-07	2014-12-15	SAMEA103885030	HPSI1113i-bima_1 derived macrophage day 38 with LDL
BIMA_24h_Ctrl	15798_6#11	2232855	BIMA_24h_Ctrl	2014-11-07	2014-12-15	SAMEA103884948	HPSI1113i-bima_1 derived macrophage day 38 untreated
BULB_24h_AcLDL	15798_6#14	2232858	BULB_24h_AcLDL	2014-11-10	2014-12-15	SAMEA103885362	HPSI0913i-bulb_1 derived macrophage day 35 with LDL
BULB_24h_Ctrl	15798_6#13	2232857	BULB_24h_Ctrl	2014-11-10	2014-12-15	SAMEA103885376	HPSI0913i-bulb_1 derived macrophage day 35 untreated
CEHW_24h_AcLDL	15798_3#12	2232838	CEHW_24h_AcLDL	2014-10-11	2014-11-17	SAMEA103885052	HPSI0513i-cehw_3 derived macrophage day 37 with LDL
CEHW_24h_Ctrl	15798_3#11	2232837	CEHW_24h_Ctrl	2014-10-11	2014-11-17	SAMEA103885127	HPSI0513i-cehw_3 derived macrophage day 37 untreated
COIO_24h_AcLDL	15367_5#18	2181737	COIO_24h_AcLDL	2014-10-11	2014-11-17	SAMEA103884907	HPSI0513i-coio_2 derived macrophage day 37 with LDL
COIO_24h_Ctrl	15367_5#17	2181736	COIO_24h_Ctrl	2014-10-11	2014-11-17	SAMEA103884996	HPSI0513i-coio_2 derived macrophage day 37 untreated
DARW_24h_AcLDL	15798_3#10	2232836	DARW_24h_AcLDL	2014-09-28	2014-11-17	SAMEA103884987	HPSI0713i-darw_2 derived macrophage day 50 with LDL
DARW_24h_Ctrl	15798_3#9	2232835	DARW_24h_Ctrl	2014-09-28	2014-11-17	SAMEA103884982	HPSI0713i-darw_2 derived macrophage day 50 untreated
