sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	atac_date	accession	full_name
bima_A_ATAC	15444_5#14	2215132	bima_A_ATAC	2014-11-07	2014-12-12	SAMEA103885122	HPSI1113i-bima_1 derived macrophage day 35 untreated
bima_B_ATAC	15444_5#13	2215133	bima_B_ATAC	2014-11-07	2014-12-12	SAMEA103885158	HPSI1113i-bima_1 derived macrophage day 35 with IFNg
bima_C_ATAC	15444_5#16	2215134	bima_C_ATAC	2014-11-07	2014-12-12	SAMEA103885174	HPSI1113i-bima_1 derived macrophage day 35 with salmonella
bima_D_ATAC	15444_5#15	2215135	bima_D_ATAC	2014-11-07	2014-12-12	SAMEA103885085	HPSI1113i-bima_1 derived macrophage day 35 with salmonella and IFNg
eofe_A_ATAC	15444_5#18	2215136	eofe_A_ATAC	2014-11-01	2014-12-12	SAMEA103885254	HPSI1113i-eofe_1 derived macrophage day 41 untreated
eofe_B_ATAC	15444_5#17	2215137	eofe_B_ATAC	2014-11-01	2014-12-12	SAMEA103885033	HPSI1113i-eofe_1 derived macrophage day 41 with IFNg
eofe_C_ATAC	15444_5#26	2215138	eofe_C_ATAC	2014-11-01	2014-12-12	SAMEA103885051	HPSI1113i-eofe_1 derived macrophage day 41 with salmonella
eofe_D_ATAC	15444_5#25	2215139	eofe_D_ATAC	2014-11-01	2014-12-12	SAMEA103884917	HPSI1113i-eofe_1 derived macrophage day 41 with salmonella and IFNg
eika_B_ATAC	16667_4#13	2310277	3226STDY6119499	2015-03-05	2015-04-17	SAMEA103885087	HPSI0913i-eika_2 derived macrophage day 43 with IFNg
eika_A_ATAC	16667_4#25	2310278	3226STDY6119500	2015-03-05	2015-04-17	SAMEA103884938	HPSI0913i-eika_2 derived macrophage day 43 untreated
ieki_B_ATAC	16667_4#14	2310279	3226STDY6119501	2015-03-02	2015-04-17	SAMEA103885151	HPSI1113i-ieki_2 derived macrophage day 46 with IFNg
ieki_A_ATAC	16667_4#26	2310280	3226STDY6119502	2015-03-02	2015-04-17	SAMEA103885344	HPSI1113i-ieki_2 derived macrophage day 46 untreated
nusw_B_ATAC	16667_4#15	2310281	3226STDY6119503	2015-02-23	2015-04-17	SAMEA103884951	HPSI1213i-nusw_2 derived macrophage day 53 with IFNg
nusw_A_ATAC	16667_4#27	2310282	3226STDY6119504	2015-02-23	2015-04-17	SAMEA103885295	HPSI1213i-nusw_2 derived macrophage day 53 untreated
ruyv_B_ATAC	16667_4#16	2310283	3226STDY6119505	2015-03-02	2015-04-17	SAMEA103885093	HPSI0713i-ruyv_1 derived macrophage day 46 with IFNg
ruyv_A_ATAC	16667_4#28	2310284	3226STDY6119506	2015-03-02	2015-04-17	SAMEA103885412	HPSI0713i-ruyv_1 derived macrophage day 46 untreated
uimo_B_ATAC	16667_4#17	2310285	3226STDY6119507	2015-02-24	2015-04-17	SAMEA103885080	HPSI0713i-uimo_1 derived macrophage day 52 with IFNg
uimo_A_ATAC	16667_4#29	2310286	3226STDY6119508	2015-02-24	2015-04-17	SAMEA103885396	HPSI0713i-uimo_1 derived macrophage day 52 untreated
cicb_B_ATAC	16667_4#1	2310287	3226STDY6119509	2015-03-30	2015-04-24	SAMEA103885160	HPSI0713i-cicb_3 derived macrophage day 25 with IFNg
cicb_A_ATAC	16667_4#2	2310288	3226STDY6119510	2015-03-30	2015-04-24	SAMEA103885048	HPSI0713i-cicb_3 derived macrophage day 25 untreated
cicb_D_ATAC	16667_4#3	2310289	3226STDY6119511	2015-03-30	2015-04-24	SAMEA103884998	HPSI0713i-cicb_3 derived macrophage day 25 with salmonella and IFNg
cicb_C_ATAC	16667_4#4	2310290	3226STDY6119512	2015-03-30	2015-04-24	SAMEA103885009	HPSI0713i-cicb_3 derived macrophage day 25 with salmonella
vass_B_ATAC	16667_4#37	2310291	3226STDY6119513	2015-03-29	2015-04-24	SAMEA103885245	HPSI0114i-vass_1 derived macrophage day 26 with IFNg
