sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	salmonella_date	accession	full_name
aipt_A	15367_2#21	2025998	aipt_A	2014-04-30	2014-06-14	SAMEA103885226	HPSI0513i-aipt_2 derived macrophage day 45 untreated
aipt_B	15367_2#22	2025999	aipt_B	2014-04-30	2014-06-14	SAMEA103885263	HPSI0513i-aipt_2 derived macrophage day 45 with IFNg
aipt_C	15367_2#23	2026000	aipt_C	2014-04-30	2014-06-14	SAMEA103885044	HPSI0513i-aipt_2 derived macrophage day 45 with salmonella
aipt_D	15367_2#24	2026001	aipt_D	2014-04-30	2014-06-14	SAMEA103885205	HPSI0513i-aipt_2 derived macrophage day 45 with salmonella and IFNg
cehw_A	15326_1#17	2192894	cehw_A	2014-10-11	2014-11-20	SAMEA103885168	HPSI0513i-cehw_3 derived macrophage day 40 untreated
cehw_B	15326_1#18	2192895	cehw_B	2014-10-11	2014-11-20	SAMEA103885325	HPSI0513i-cehw_3 derived macrophage day 40 with IFNg
cehw_C	15326_1#19	2192896	cehw_C	2014-10-11	2014-11-20	SAMEA103885050	HPSI0513i-cehw_3 derived macrophage day 40 with salmonella
cehw_D	15326_1#20	2192897	cehw_D	2014-10-11	2014-11-20	SAMEA103885150	HPSI0513i-cehw_3 derived macrophage day 40 with salmonella and IFNg
coio_A	15326_5#5	2192906	coio_A	2014-10-11	2014-11-20	SAMEA103885359	HPSI0513i-coio_2 derived macrophage day 40 untreated
coio_B	15326_5#6	2192907	coio_B	2014-10-11	2014-11-20	SAMEA103885117	HPSI0513i-coio_2 derived macrophage day 40 with IFNg
coio_D	15326_5#7	2192908	coio_C	2014-10-11	2014-11-20	SAMEA103885302	HPSI0513i-coio_2 derived macrophage day 40 with salmonella and IFNg
coio_C	15326_5#8	2192909	coio_D	2014-10-11	2014-11-20	SAMEA103885366	HPSI0513i-coio_2 derived macrophage day 40 with salmonella
coxy_A	15223_4#13	2176570	coxy_A	2014-07-19	2014-08-29	SAMEA103885404	HPSI0413i-coxy_3 derived macrophage day 41 untreated
coxy_B	15223_4#14	2176571	coxy_B	2014-07-19	2014-08-29	SAMEA103885187	HPSI0413i-coxy_3 derived macrophage day 41 with IFNg
coxy_C	15223_4#15	2176572	coxy_C	2014-07-19	2014-08-29	SAMEA103885282	HPSI0413i-coxy_3 derived macrophage day 41 with salmonella
coxy_D	15223_4#16	2176573	coxy_D	2014-07-19	2014-08-29	SAMEA103885057	HPSI0413i-coxy_3 derived macrophage day 41 with salmonella and IFNg
cuau_A	15326_1#21	2192898	cuau_A	2014-09-27	2014-11-20	SAMEA103885250	HPSI0513i-cuau_2 derived macrophage day 54 untreated
