gender	line_id
female	qonc_1
female	qonc_2
female	qonc
female	wetu_2
female	wetu_1
female	wetu_3
female	wetu
female	wuye_2
female	wuye_3
female	wuye_1
female	wuye
female	lula_1
female	lula_2
female	lula
female	lula_3
female	dard_2
female	dard_3
female	dard
female	dard_1
male*	peop_2
male*	peop_4
male*	peop_1
male*	peop_3
male*	peop
male	hiaf_2
male	hiaf_3
male	hiaf_1
male	hiaf
female	kehc_2
female	kehc
male	yemz_1
male	yemz_3
male	yemz_2
male	yemz
male*	dovq_33
male*	dovq_3
male*	dovq_2
male*	dovq_1
male*	dovq
female	eiwy_1
female	eiwy
Female	aetc_1
Female	aetc_2
Female	aetc_3
Female	aetc
male	kuxp_1
male	kuxp
female*	dipe_1
female*	dipe_2
female*	dipe_3
female*	dipe
female	sucu_2
female	sucu_3
female	sucu
female	sucu_1
female	zoxy_3
female	zoxy_2
female	zoxy_1
female	zoxy
female	eofe_1
female	eofe_3
female	eofe_2
female	eofe
female*	pedc
female*	pedc_1
female	nukw_1
female	nukw_3
female	nukw
female*	dulv_2
female*	dulv
female*	dulv_1
female	hegp_3
female	hegp_1
female	hegp_2
female	hegp
female	kojv_2
female	kojv_1
female	kojv
male	iisa_3
male	iisa_2
male	iisa
male	iisa_1
male	fafq_1
male	fafq
female*	uimo_1
female*	uimo_2
female*	uimo
male*	liun_1
male*	liun_3
male*	liun
male*	liun_2
male*	liun_22
male*	giuo_4
male*	giuo_6
male*	giuo
male*	giuo_5
male	ueah_1
male	ueah_2
male	ueah
male	ueah_4
female*	kesz_1
female*	kesz_2
female*	kesz_3
female*	kesz
Female	vopm_2
Female	vopm_1
Female	vopm
male	xugn_1
male	xugn
male	xugn_2
female	febc_2
female	febc_1
female	febc_3
female	febc
female*	iasn_3
female*	iasn_1
female*	iasn
female*	iasn_2
male	ffdb_1
male	ffdb_2
male	ffdb
male	ffdb_3
male	ffdb_4
male	kolf_2
male	kolf_3
male	kolf_1
male	kolf
Male	kolf_2
Male	kolf_2
Male	kolf_2
male*	corn_1
male*	corn
Female	qony_2
Female	qony_1
Female	qony_3
Female	qony
female	javm_2
female	javm_3
female	javm
female	javm_1
male	fett_1
male	fett_2
male	fett
male	fett_3
male	fpdk
male	zuta_1
male	ffdk_3
male	fpdk_1
male	fpdk_3
male	ffdk_1
male	ffdk_2
male	zuta_2
Male	fpdk_2
male	fpdk_2
male	zuta_3
male	ffdk
male	eafb_1
male	eafb
male	eafb_2
male	eafb_3
male	ffdm_3
male	fpdm
male	qibk_2
male	qibk_1
male	qibk_3
male	ffdm
male	ffdm
male	fpdm_1
male	fpdm_3
male	ffdm_4
male	ffdm_5
male	ffdm_6
male	ffdm_2
male	fpdm_2
male	ffdm
male	uait
male	uati_6
male*	nudd_6
male*	nudd_2
male*	nudd
male*	nudd_1
male	xosg_2
male	xosg_3
male	xosg
Male	xosg_2
Male	xosg_2
female*	veqz_6
female*	veqz_5
female*	veqz
female*	veqz_4
female*	huls_1
female*	huls_2
female*	huls_3
female*	huls
male	hayt_1
male	hayt_3
male	hayt_2
male	hayt
female*	sucd_1
female*	sucd_2
female*	sucd
female*	sucd_3
male	vorx_1
male	vorx_3
male	vorx
male	vorx_2
male	xomm_1
male	xomm
male	xomm_2
male	xomm_3
female	wots_3
female	wots_2
female	wots_1
female	wots
female*	zaui_3
female*	zaui_1
female*	zaui_2
female*	zaui
male*	yotv
male*	yotv_2
male*	yotv_3
male	ffdp_2
male	ffdp
male	ffdp_11
male	ffdp_1
male	ffdp_22
Male	ffdp_33
Male	ffdp_33
male	ffdp_3
male	ffdp_33
Female	woci_3
female	woci
Female	woci_2
Female	woci_1
male	oefg_2
male	oefg_1
male	oefg_3
male	oefg
female	coyi_3
female	coyi_1
female	coyi_2
female	coyi
female*	lofv_3
female*	lofv_1
female*	lofv
female*	lofv_2
female*	lofv_33
female	hehd_2
female	hehd_3
female	hehd
female	hehd_1
female	kodf_1
female	kodf_3
female	kodf
female	kodf_2
Male	terl_2
Male	terl_1
Male	terl_3
male	terl
female	cups_3
female	cups_1
female	cups_2
female	cups
male*	gedo_33
male*	gedo_3
male*	gedo_1
male*	gedo_2
male*	gedo
male*	gedo_11
male*	gedo_22
male	oevw
male	oevw_2
male	oevw_1
male	oevw_3
Male	funy_1
Male	funy_2
Male	funy
Male	funy_3
male	qolg_3
male	qolg_2
male	qolg
male	qolg_1
female	wibj_2
female	wibj_1
female	wibj_2
female	wibj_1
female	wibj
female*	tadm_3
female*	tadm
female*	tadm_1
female*	tadm_11
female*	tadm_2
female	lexy_2
female	lexy_1
female	lexy_3
female	lexy
male*	nawk_55
male*	nawk_6
male*	nawk_44
male*	nawk_66
male*	Nawk
male*	nawk_4
male*	nawk_5
male	zapk_3
male	zapk_1
male	zapk
male	zapk_2
male*	cesj_1
male*	cesj_2
male*	cesj_3
male*	cesj
male	oaaz_1
male	oaaz
male	oaaz_2
male	oaaz_3
male*	xeaw_1
male*	xeaw_3
male	iill_1
male	iill_3
male	iill_2
male	iill
female	dons_1
female	dons_2
female	dons_3
female	dons
male	eika_2
male	eika_1
male	eika
female	lise_1
female	lise_3
female	lise_2
female	lise
male	veku_1
male	veku
male	veku_2
Female	civh_1
female	civh_2
female	civh
Female	civh_3
male*	leeh_3
male*	leeh_2
male*	leeh_1
male*	leeh
male	lavd_2
male	lavd
female	fikt_3
female	fikt_1
female	fikt
female	fikt_2
male	nusw_2
male	nusw_1
male	nusw_3
male	nusw
female	xuja_2
female	xuja_3
female	xuja_1
female	xuja
male	rayr_1
male	rayr
Male	rayr_1
Male	rayr_1
male	kucg_2
male	kucg
Male	kucg_3
female	iicq_1
female	iicq_3
female	iicq_2
female	iicq
female	sebz_1
female	sebz_3
female	sebz
male	qorq_2
male	qorq_1
male	qorq_3
male	qorq
female	iurx_2
female	iurx_3
female	iurx
female	iurx_1
female*	suzg_3
female*	suzg_1
female*	suzg_2
female*	suzg
female	pusf_1
female	pusf_2
female	pusf
female	pusf_3
female	fpdl_2
female	fpdl_1
female	fpdl
female	ffdz_2
female	ffdl_1
female	foqj_2
female	foqj_3
female	ffdl
female	fpdl_3
female	ffdl_3
female	ffdz_1
female	ffdz_3
female	ffdz
female	ffdl_2
female	foqj_1
female	ffdl
female	pahc_5
female	pahc_4
female	pahc_6
female	pahc
female*	momt_3
female*	momt
female*	momt_2
female	vabj_3
female	vabj_2
female	vabj_1
female	vabj
female	yelp_3
female	yelp_4
female	yelp
female	bulb_1
female	bulb_3
female	bulb_2
female	bulb
female	piun_3
female	piun_1
female	piun_2
female	piun
female*	oogu_2
female*	oogu_2
female*	oogu_1
female*	oogu_3
female*	oogu_1
female*	oogu_3
female*	oogu
male	duuy
male	duuy_1
Male	kefk_1
Male	kefk_3
Male	kefk
Male	kefk_2
female	bawa_2
female	bawa_3
female	bawa
female*	bawa_2
female*	bawa_3
female*	bawa_1
female*	bawa
female	bawa_1
male	ffdr_3
male	ffdr
male	fumb_2
Male	fpdr_2
male	fpdr_1
male	fpdr_3
male	ffdr_1
male	ffdr_2
male	fumb_3
male	fumb_3
male	fumb_1
male	ffdr
male	fpdr_2
male	fpdr
male	cicb_3
male	cicb_1
male	cicb
male	cicb_2
female	diku_1
female	diku_2
female	diku_3
female	diku
male	bohf_1
male	bohf
male	bohf_2
female	vass_1
female	vass
female	cuhk_1
female	cuhk_2
female	cuhk
female	cuhk_3
female	podx_1
female	podx_3
female	podx
female	podx_2
female	ruyv_3
female	ruyv_1
female	ruyv_2
female	ruyv
female	bubh_1
female	bubh_3
female	bubh_2
female	bubh
male	pasj_1
male	pasj
male	pasj_3
male	pasj_2
Female	uaqe_1
Female	uaqe_2
Female	uaqe
female	fiau_1
female	fiau_2
female	fiau_3
female	fiau
female*	oibg_2
female*	oibg_3
female	oibg
female*	oibg_1
male	pamv_3
male	pamv_1
male	pamv_2
male	pamv
male	mita_1
male	mita_3
male	mita
male	mita_2
male*	aipt_33
male*	aipt_1
male*	aipt_2
male*	aipt
male*	aipt_3
male*	uilw_2
male*	uilw
male*	uilw_3
male*	uilw_1
female	ruql_3
female	ruql_2
female	ruql_1
female	ruql
female	ieki_3
female	ieki_2
female	ieki_1
female	ieki
female	ieki_3
female*	bupo_5
female*	bupo
female*	bupo_6
female*	bupo_4
male*	coxy_33
male*	coxy_3
male*	coxy_2
male*	coxy
male	faej
male	faej
male	faej_3
male	faej_2
male	faej_1
Male	faej
male*	hikj_1
male*	hikj_3
male*	hikj
male*	hikj_2
female	riiv_3
female	riiv_1
female	riiv
female	xucm_3
female	xucm_2
female	xucm_1
female	xucm
female*	eiqh_6
female*	eiqh_4
female*	eiqh_5
female*	eiqh
female*	eiqh_2
female*	eiqh_1
Female	eiqh_3
female*	eiqh_3
female*	uahf_3
female*	uahf_2
female*	uahf_1
female*	uahf
male	feec_3
male	feec
male	feec_2
male*	sukz_1
male*	sukz_2
male*	sukz_3
male*	sukz
Female	tozk_2
Female	tozk
Female	tozk_1
Female	tozk_3
female*	uoxz_5
female*	uoxz_4
female*	uoxz_6
female*	uoxz
female	hutq
female	hutq_2
female	hutq_1
Male	biiw_2
Male	biiw_3
Male	biiw
Male	biiw_1
female	wiol_2
female	wiol
female	wiol_3
female	wiol_1
female*	veve_1
female*	veve_3
female*	veve
female*	veve_2
female*	cuau_1
female*	cuau_2
female*	cuau_3
female*	cuau
male*	fejf_1
male*	fejf
male*	fejf_3
male*	fejf_2
male	nemb_1
male	nemb_2
male	nemb_3
male	nemb
male	daxu
male	daxu_3
male*	oeoo_2
male*	oeoo_3
male*	oeoo_1
male*	oeoo
female	hoik_1
female	hoik_2
female	hoik_3
female	hoik
female	tout_1
female	tout_2
female	tout_3
female	tout
female	jetz
Female	jetz_1
female*	oomz_2
female*	oomz_22
female*	oomz_1
female*	oomz_3
female*	oomz
female	aaeh
Female	aaeh_1
Female	aaeh_3
Female	aaeh
Male	robp_3
Male	robp_2
male	robp
male*	xovo_2
male*	xovo_3
male*	xovo_4
male*	xovo_6
male*	xovo
male*	xovo_5
male*	xovo_1
male*	virz
male*	virz_1
male*	virz_2
male*	virz_3
female	oapg_5
female	oapg_4
female	oapg
female	eipl_1
female	eipl_2
female	eipl
female	eipl_3
female	babk_2
female	babk_1
female	babk_3
female	babk
male	uexy_1
male	uexy
male	uexy_2
Female	dium_1
Female	dium_2
Female	dium
female	dium_3
female	puvg_3
female	puvg
female	puvg_1
female*	xekf_1
female*	xekf_2
female*	xekf_3
female*	xekf
Male	aevs
male	aevs_3
Male	aevs_2
male	aevs_1
Female	garx_2
Female	garx_3
Female	garx_1
Female	garx
male	funp_3
male	funp_1
male	funp
male	funp_2
male	ffdc_11
male	ffdc_1
male	ffdc_4
male	ffdc
male	ffdc_2
male	ffdc_3
male	ffdc_5
male	ffdc_22
male	ffdc_33
female	aizi_3
female	aizi_1
female	aizi_2
female	aizi
female	gooj_1
female	gooj_3
female	gooj_2
female	gooj
male	ffds
female*	giuf_2
female*	giuf
female*	giuf_1
female*	giuf_3
male*	fecs_3
male*	fecs_2
male*	fecs
male*	fecs_1
male	oevr_3
male	oevr_2
male	oevr
female	waus_1
female	waus_2
female	waus_3
female	waus
male	aegt_1
male	aegt
male	aegt_2
male	aegt_3
female	pelm_1
female	pelm_3
female	pelm_2
female	pelm
Male	veui_1
Male	veui_2
Male	veui
Male	veui_3
female	xugr_2
female	xugr_1
female	xugr
Male	iuqb_2
Male	iuqb
Male	iuqb_3
Male	iuqb_1
male*	gomv_2
male*	gomv_4
male	gomv
male*	gomv_3
female	qimz_1
female	qimz_2
female	qimz_3
female	qimz
male	bipt_1
male	bipt
male	jogf_3
male	jogf
male	jogf_2
male	jogf_1
female*	foop_2
female*	foop_1
female*	foop_3
female*	foop
female	joxm_1
female	joxm_3
female	joxm
female	joxm_2
female	posc
female	posc
female	posc_1
female	posc_2
female	posc_3
female	posc_1
female	posc_2
female	posc_3
female	auim_3
female	auim_2
female	auim_1
female	auim
female	auim
male	focm_1
male	focm_2
male	focm_3
male	focm
male	wopl_2
male	wopl_3
