line_id,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,MF_harvest,salmonella,flow_date,medium_changes,terminated,extraction_date,rna_submit,library_pool,status,comment
uoxz_5,,12/05/2014,21/05/2014,34,frozen,KSR,09/06/2014,37,13/06/2014,,,,13,19/08/2014,,,,Diff_fail,Too few MFs.
airc_2,,17/07/2014,18/07/2014,25,frozen,KSR,12/08/2014,30,16/08/2014,,,,,06/10/2014,,,,Diff_fail,Infrequent MC
leeh_3,,17/07/2014,29/07/2014,29,frozen,KSR,09/08/2014,32,13/08/2014,,,,,06/10/2014,,,,Diff_fail,Infrequent MC
xekf_1,,,28/07/2014,35,alive,KSR,01/08/2014,36,05/08/2014,,,,,06/10/2014,,,,Diff_fail,Infrequent MC
koun_2,,17/07/2014,29/07/2014,25,frozen,KSR,26/08/2014,30,29/08/2014,,,,,11/10/2014,,,,Diff_fail,Infrequent MC
vopm_2,,,06/08/2014,38,alive,KSR,11/08/2014,39,15/08/2014,,,,,21/10/2014,,,,Diff_fail,Too few MFs.
iakz_1,,19/08/2014,03/09/2014,27,frozen,KSR,23/09/2014,30,27/09/2014,,,,,31/10/2014,,,,Diff_fail,EBs dissapeared.
qolg_3,,,24/10/2014,39,alive,E8,08/11/2014,41,11/11/2014,,,,,15/11/2014,,,,Diff_fail,Contamination
focm_1,,,01/10/2014,45,alive,KSR,07/10/2014,46,11/10/2014,,,,,27/11/2014,,,,Diff_fail,
uoxz_5,,,17/09/2014,55,alive,KSR,22/09/2014,56,26/09/2014,,,,8,14/11/2014,,,,Diff_fail,Very few and very large cells
xegx_2,,,24/10/2014,29,alive,KSR,31/10/2014,30,04/11/2014,,,,,19/12/2014,,,,Diff_fail,
bulb_1,,,24/10/2014,33,alive,E8,07/11/2014,35,10/11/2014,,,16/12/2014,7,19/12/2014,,,,FC_QC_fail,Cells looked weird.
gedo_3,,17/07/2014,29/07/2014,28,frozen,KSR,10/08/2014,31,14/08/2014,,,19/09/2014,,06/10/2014,,,,FC_QC_fail,Contaminating cell type
uahf_3,,19/08/2014,03/09/2014,31,frozen,KSR,29/09/2014,35,03/10/2014,,,21/11/2014,,28/11/2014,,,,FC_QC_fail,
fpdj_3,,,,,,KSR,03/02/2014,41,07/02/2014,,,20/05/2014,15,26/05/2014,,,,FC_QC_fail,
ffdk_1,,,19/03/2014,18,alive,KSR,24/03/2014,19,27/03/2014,,,20/05/2014,12,13/06/2014,,,,FC_QC_fail,
oarz_2,1,,23/06/2014,35,alive,KSR,30/06/2014,36,04/07/2014,14/08/2014,22/08/2014,,9,27/08/2014,08/09/2014,,,RNA_QC_fail,Sample A degraded. Did not sequence.
babk_2,,,10/10/2014,36,alive,E8,25/10/2014,38,29/10/2014,,,16/12/2014,9,19/12/2014,,,,Stimulation_fail,Cells looked weird.
riiv_1,1,,06/10/2014,32,alive,KSR,12/10/2014,33,16/10/2014,,,21/11/2014,,19/12/2014,07/12/2014,,,Stimulation_fail,Not enough cells/RNA.
piun_3,,,06/10/2014,38,alive,KSR,12/10/2014,39,16/10/2014,,,04/12/2014,,19/12/2014,,,,Stimulation_fail,
ffdp_3,1,,12/03/2014,42,alive,KSR,22/03/2014,44,25/03/2014,26/05/2014,03/06/2014,20/05/2014,14,13/06/2014,06/06/2014,13/07/2014,3226_dUTP_160714_1,Success,
liun_2,1,,22/04/2014,25,alive,KSR,26/04/2014,26,30/04/2014,08/06/2014,14/06/2014,20/06/2014,12,08/07/2014,24/06/2014,13/07/2014,3226_dUTP_160714_1,Success,
oomz_2,1,,06/05/2014,27,alive,KSR,10/05/2014,28,14/05/2014,08/06/2014,14/06/2014,16/06/2014,6,26/06/2014,09/07/2014,13/07/2014,3226_dUTP_160714_1,Success,
