KOLF_2_FF_R848_6	21775_1#9;21775_2#9
KOLF_2_FF_IFNG_6	21775_1#6;21775_2#6
KOLF_2_FF_CILPS_6	21775_1#11;21775_2#11
KOLF_2_FF_sLPS_24	21775_1#19;21775_2#19
KOLF_2_FF_P3C_6	21775_1#5;21775_2#5
KOLF_2_FF_CILPS_24	21775_1#23;21775_2#23
KOLF_2_FF_Ctrl_24	21775_1#13;21775_2#13
KOLF_2_FF_R848_24	21775_1#21;21775_2#21
KOLF_2_FF_sLPS_6	21775_1#7;21775_2#7
KOLF_2_FF_Salb_24	21775_1#24;21775_2#24
KOLF_2_FF_Ctrl_6	21775_1#1;21775_2#1
KOLF_2_FF_IL4_24	21775_1#16;21775_2#16
KOLF_2_FF_IFNB_24	21775_1#15;21775_2#15
KOLF_2_FF_IL10_24	21775_1#14;21775_2#14
KOLF_2_FF_TPP_24	21775_1#20;21775_2#20
KOLF_2_FF_P3C_24	21775_1#17;21775_2#17
KOLF_2_FF_CI_6	21775_2#10;21775_1#10
KOLF_2_FF_CI_24	21775_1#22;21775_2#22
KOLF_2_FF_TPP_6	21775_1#8;21775_2#8
KOLF_2_FF_IFNB_6	21775_1#3;21775_2#3
KOLF_2_FF_IL4_6	21775_1#4;21775_2#4
KOLF_2_FF_IL10_6	21775_1#2;21775_2#2
KOLF_2_FF_Salb_6	21775_1#12;21775_2#12
KOLF_2_FF_IFNG_24	21775_1#18;21775_2#18
